algorithm,search_space,k_th,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement,gen
ls,ac,1,4,4,0,0,0,1229
ls,ac,2,14,14,0,0,0,1253
ls,ac,3,6,6,0,0,0,945
ls,ac,4,5,5,0,0,0,507
ls,ac,5,9,9,0,0,0,893
ls,ac,6,8,8,0,0,0,827
ls,ac,7,4,4,0,0,0,961
ls,ac,8,6,6,0,0,0,1518
ls,ac,9,14,14,0,0,0,1970
ls,ac-gi,1,4,3,1,0,0,826
ls,ac-gi,2,6,5,0,1,0,1150
ls,ac-gi,3,4,2,1,1,0,807
ls,ac-gi,4,8,4,0,4,0,529
ls,ac-gi,5,10,5,0,4,1,1011
ls,ac-gi,6,10,2,4,3,1,1038
ls,ac-gi,7,7,4,1,2,0,896
ls,ac-gi,8,7,5,0,1,1,873
ls,ac-gi,9,7,4,0,3,0,1084
ls,ac-gi,10,1,1,0,0,0,241
ls,gi,1,6,0,2,4,0,575
ls,gi,2,8,0,2,5,1,596
ls,gi,3,6,0,2,3,1,485
ls,gi,4,5,0,1,4,0,355
ls,gi,6,7,0,1,5,1,544
ls,gi,7,7,0,1,5,1,530
ls,gi,8,3,0,0,2,1,291
ls,gi,9,1,0,0,1,0,326
