variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-21 01:25:25,0,INITIAL SUCCESS,442696811878,100,0,0,0,0,0
1,2023-08-21 01:26:59,207,SUCCESS,451163108267,101.91,1,0,0,1,0
2,2023-08-21 01:28:33,301,SUCCESS,464457518829,104.92,1,1,0,0,0
3,2023-08-21 01:28:35,303,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
4,2023-08-21 01:29:59,387,SUCCESS,441811799764,99.8,1,0,0,0,1
5,2023-08-21 01:29:59,387,SUCCESS,442696811878,100.0,0,0,0,0,0
6,2023-08-21 01:30:02,390,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
7,2023-08-21 01:31:30,478,SUCCESS,462084674415,104.38,2,0,1,0,1
8,2023-08-21 01:33:09,577,RUN_TIMEOUT,None,None,2,0,0,0,2
9,2023-08-21 01:33:09,577,SUCCESS,441811799764,99.8,2,1,0,0,1
10,2023-08-21 01:33:09,577,SUCCESS,442696811878,100.0,1,1,0,0,0
11,2023-08-21 01:34:39,667,SUCCESS,453396368511,102.42,3,1,1,0,1
12,2023-08-21 01:36:20,768,RUN_TIMEOUT,None,None,3,2,0,0,1
13,2023-08-21 01:36:20,768,SUCCESS,441811799764,99.8,1,0,0,0,1
14,2023-08-21 01:36:20,768,SUCCESS,442696811878,100.0,0,0,0,0,0
15,2023-08-21 01:37:50,858,SUCCESS,441502941300,99.73,2,0,0,1,1
16,2023-08-21 01:39:18,946,SUCCESS,436120649770,98.51,1,0,0,1,0
17,2023-08-21 01:39:22,950,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
18,2023-08-21 01:39:25,953,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
19,2023-08-21 01:39:28,956,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
20,2023-08-21 01:39:28,956,SUCCESS,436120649770,98.51,2,1,0,1,0
21,2023-08-21 01:40:56,1044,SUCCESS,444413691241,100.39,3,1,0,2,0
22,2023-08-21 01:42:32,1140,SUCCESS,454929040562,102.76,3,1,0,1,1
23,2023-08-21 01:42:32,1140,SUCCESS,436120649770,98.51,1,0,0,1,0
24,2023-08-21 01:42:34,1142,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
25,2023-08-21 01:42:34,1142,SUCCESS,442696811878,100.0,0,0,0,0,0
26,2023-08-21 01:42:37,1145,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
27,2023-08-21 01:42:40,1148,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
28,2023-08-21 01:42:43,1151,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
29,2023-08-21 01:44:10,1238,SUCCESS,445592763657,100.65,2,0,1,1,0
30,2023-08-21 01:44:14,1242,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
31,2023-08-21 01:44:14,1242,SUCCESS,436120649770,98.51,2,1,0,1,0
32,2023-08-21 01:44:14,1242,SUCCESS,436120649770,98.51,3,2,0,1,0
33,2023-08-21 01:45:46,1334,SUCCESS,445519965683,100.64,4,2,0,2,0
34,2023-08-21 01:45:46,1334,SUCCESS,436120649770,98.51,2,1,0,1,0
35,2023-08-21 01:45:46,1334,SUCCESS,436120649770,98.51,1,0,0,1,0
36,2023-08-21 01:45:46,1334,SUCCESS,442696811878,100.0,0,0,0,0,0
37,2023-08-21 01:45:49,1337,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
38,2023-08-21 01:45:52,1340,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
39,2023-08-21 01:47:25,1433,SUCCESS,442014945328,99.85,2,0,0,2,0
40,2023-08-21 01:47:27,1435,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
41,2023-08-21 01:47:27,1435,SUCCESS,436120649770,98.51,2,1,0,1,0
42,2023-08-21 01:48:56,1524,SUCCESS,440195796268,99.44,3,1,0,2,0
43,2023-08-21 01:48:59,1527,COMPILE_CODE_ERROR,None,None,3,1,0,1,1
44,2023-08-21 01:50:37,1625,SUCCESS,446310433586,100.82,3,1,0,1,1
45,2023-08-21 01:50:37,1625,SUCCESS,442696811878,100.0,1,1,0,0,0
46,2023-08-21 01:50:37,1625,SUCCESS,436120649770,98.51,1,0,0,1,0
47,2023-08-21 01:50:37,1625,SUCCESS,442696811878,100.0,0,0,0,0,0
48,2023-08-21 01:50:40,1628,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
49,2023-08-21 01:50:43,1631,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
50,2023-08-21 01:50:43,1631,SUCCESS,436120649770,98.51,2,1,0,1,0
51,2023-08-21 01:50:45,1633,COMPILE_CODE_ERROR,None,None,3,1,1,1,0
52,2023-08-21 01:50:45,1633,SUCCESS,442696811878,100.0,1,1,0,0,0
53,2023-08-21 01:50:45,1633,SUCCESS,436120649770,98.51,3,2,0,1,0
54,2023-08-21 01:50:45,1633,SUCCESS,436120649770,98.51,4,3,0,1,0
55,2023-08-21 01:50:46,1634,COMPILE_CODE_ERROR,None,None,5,3,0,1,1
56,2023-08-21 01:50:47,1635,COMPILE_CODE_ERROR,None,None,5,3,1,1,0
57,2023-08-21 01:50:47,1635,SUCCESS,442696811878,100.0,3,3,0,0,0
58,2023-08-21 01:52:25,1733,RUN_TIMEOUT,None,None,5,4,0,1,0
59,2023-08-21 01:52:26,1734,COMPILE_CODE_ERROR,None,None,5,3,1,1,0
60,2023-08-21 01:52:28,1736,COMPILE_CODE_ERROR,None,None,5,3,1,1,0
61,2023-08-21 01:52:28,1736,SUCCESS,436120649770,98.51,3,2,0,1,0
62,2023-08-21 01:52:28,1736,SUCCESS,442696811878,100.0,2,2,0,0,0
63,2023-08-21 01:52:28,1736,SUCCESS,436120649770,98.51,4,3,0,1,0
64,2023-08-21 01:52:28,1736,SUCCESS,436120649770,98.51,5,4,0,1,0
65,2023-08-21 01:52:28,1736,SUCCESS,436120649770,98.51,4,3,0,1,0
66,2023-08-21 01:52:28,1736,SUCCESS,436120649770,98.51,5,4,0,1,0
67,2023-08-21 01:52:28,1736,SUCCESS,436120649770,98.51,4,3,0,1,0
68,2023-08-21 01:52:28,1736,SUCCESS,436120649770,98.51,3,2,0,1,0
69,2023-08-21 01:52:37,1745,RUN_CODE_ERROR,None,None,4,2,0,2,0
70,2023-08-21 01:52:37,1745,SUCCESS,442696811878,100.0,2,2,0,0,0
71,2023-08-21 01:52:37,1745,SUCCESS,436120649770,98.51,2,1,0,1,0
72,2023-08-21 01:54:01,1829,SUCCESS,444805530789,100.48,3,1,1,1,0
73,2023-08-21 01:55:40,1928,SUCCESS,468851425737,105.91,3,1,0,2,0
74,2023-08-21 01:55:49,1937,RUN_CODE_ERROR,None,None,3,1,0,2,0
75,2023-08-21 01:55:49,1937,SUCCESS,436120649770,98.51,1,0,0,1,0
76,2023-08-21 01:55:52,1940,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
77,2023-08-21 01:55:52,1940,SUCCESS,436120649770,98.51,2,1,0,1,0
78,2023-08-21 01:55:52,1940,SUCCESS,436120649770,98.51,1,0,0,1,0
79,2023-08-21 01:55:52,1940,SUCCESS,442696811878,100.0,0,0,0,0,0
80,2023-08-21 01:55:52,1940,SUCCESS,436120649770,98.51,2,1,0,1,0
81,2023-08-21 01:57:25,2033,SUCCESS,454007547052,102.55,3,1,0,2,0
82,2023-08-21 01:57:28,2036,COMPILE_CODE_ERROR,None,None,3,1,0,1,1
83,2023-08-21 01:57:31,2039,COMPILE_CODE_ERROR,None,None,3,1,1,1,0
84,2023-08-21 01:57:33,2041,COMPILE_CODE_ERROR,None,None,3,1,0,1,1
85,2023-08-21 01:57:37,2045,COMPILE_CODE_ERROR,None,None,3,1,1,1,0
86,2023-08-21 01:57:37,2045,SUCCESS,436120649770,98.51,1,0,0,1,0
87,2023-08-21 01:59:17,2145,RUN_TIMEOUT,None,None,2,1,0,1,0
