variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-20 10:15:31,0,INITIAL SUCCESS,404993740267,100,0,0,0,0,0
1,2023-08-20 10:17:04,194,RUN_TIMEOUT,None,None,1,1,0,0,0
2,2023-08-20 10:18:28,278,SUCCESS,405988537311,100.25,1,1,0,0,0
3,2023-08-20 10:18:28,278,SUCCESS,404993740267,100.0,1,1,0,0,0
4,2023-08-20 10:18:28,278,SUCCESS,404993740267,100.0,2,2,0,0,0
5,2023-08-20 10:18:28,278,SUCCESS,404993740267,100.0,3,3,0,0,0
6,2023-08-20 10:20:01,371,RUN_TIMEOUT,None,None,4,4,0,0,0
7,2023-08-20 10:20:01,371,SUCCESS,404993740267,100.0,4,4,0,0,0
8,2023-08-20 10:20:01,371,SUCCESS,404993740267,100.0,3,3,0,0,0
9,2023-08-20 10:21:10,440,SUCCESS,331729143109,81.91,4,4,0,0,0
10,2023-08-20 10:21:10,440,SUCCESS,331729143109,81.91,3,3,0,0,0
11,2023-08-20 10:21:10,440,SUCCESS,331729143109,81.91,2,2,0,0,0
12,2023-08-20 10:21:10,440,SUCCESS,404993740267,100.0,1,1,0,0,0
13,2023-08-20 10:21:10,440,SUCCESS,331729143109,81.91,3,3,0,0,0
14,2023-08-20 10:21:10,440,SUCCESS,404993740267,100.0,2,2,0,0,0
15,2023-08-20 10:21:10,440,SUCCESS,331729143109,81.91,4,4,0,0,0
16,2023-08-20 10:22:19,509,SUCCESS,330621247502,81.64,5,5,0,0,0
17,2023-08-20 10:22:19,509,SUCCESS,331729143109,81.91,4,4,0,0,0
18,2023-08-20 10:23:40,590,SUCCESS,405902775331,100.22,4,4,0,0,0
19,2023-08-20 10:23:40,590,SUCCESS,330621247502,81.64,4,4,0,0,0
20,2023-08-20 10:23:40,590,SUCCESS,405902775331,100.22,3,3,0,0,0
21,2023-08-20 10:23:40,590,SUCCESS,330621247502,81.64,5,5,0,0,0
22,2023-08-20 10:25:11,681,RUN_TIMEOUT,None,None,6,6,0,0,0
23,2023-08-20 10:25:11,681,SUCCESS,330621247502,81.64,6,6,0,0,0
24,2023-08-20 10:25:11,681,SUCCESS,330621247502,81.64,7,7,0,0,0
25,2023-08-20 10:25:11,681,SUCCESS,330621247502,81.64,6,6,0,0,0
26,2023-08-20 10:25:11,681,SUCCESS,330621247502,81.64,5,5,0,0,0
27,2023-08-20 10:26:47,777,RUN_TIMEOUT,None,None,6,6,0,0,0
28,2023-08-20 10:26:47,777,SUCCESS,330621247502,81.64,4,4,0,0,0
29,2023-08-20 10:26:47,777,SUCCESS,330621247502,81.64,5,5,0,0,0
30,2023-08-20 10:26:47,777,SUCCESS,405902775331,100.22,4,4,0,0,0
31,2023-08-20 10:28:21,871,RUN_TIMEOUT,None,None,6,6,0,0,0
32,2023-08-20 10:28:21,871,SUCCESS,331729143109,81.91,4,4,0,0,0
