variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-21 11:23:48,0,INITIAL SUCCESS,518822784250,100,0,0,0,0,0
1,2023-08-21 11:23:52,135,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
2,2023-08-21 11:23:58,141,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
3,2023-08-21 11:24:03,146,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
4,2023-08-21 11:24:07,150,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
5,2023-08-21 11:24:10,153,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
6,2023-08-21 11:24:15,158,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
7,2023-08-21 11:24:20,163,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
8,2023-08-21 11:24:22,165,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
9,2023-08-21 11:24:23,166,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
10,2023-08-21 11:24:27,170,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
11,2023-08-21 11:24:30,173,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
12,2023-08-21 11:24:32,175,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
13,2023-08-21 11:24:42,185,RUN_CODE_ERROR,None,None,1,0,0,1,0
14,2023-08-21 11:24:44,187,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
15,2023-08-21 11:26:18,281,SUCCESS,526600250916,101.5,1,0,0,1,0
16,2023-08-21 11:26:25,288,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
17,2023-08-21 11:26:27,290,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
18,2023-08-21 11:26:30,293,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
19,2023-08-21 11:26:31,294,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
20,2023-08-21 11:26:35,298,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
21,2023-08-21 11:26:37,300,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
22,2023-08-21 11:26:40,303,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
23,2023-08-21 11:26:42,305,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
24,2023-08-21 11:26:44,307,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
25,2023-08-21 11:26:55,318,RUN_CODE_ERROR,None,None,1,0,0,1,0
26,2023-08-21 11:26:57,320,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
27,2023-08-21 11:28:29,412,SUCCESS,529839958082,102.12,1,0,0,1,0
28,2023-08-21 11:28:32,415,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
29,2023-08-21 11:28:34,417,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
30,2023-08-21 11:28:37,420,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
31,2023-08-21 11:30:05,508,SUCCESS,527120804894,101.6,1,0,0,0,1
32,2023-08-21 11:31:48,611,SUCCESS,520782327492,100.38,1,0,0,1,0
33,2023-08-21 11:33:35,718,RUN_TIMEOUT,None,None,1,0,0,0,1
34,2023-08-21 11:33:45,728,RUN_CODE_ERROR,None,None,1,0,0,1,0
35,2023-08-21 11:35:35,838,SUCCESS,519234409958,100.08,1,0,0,1,0
36,2023-08-21 11:35:38,841,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
37,2023-08-21 11:35:44,847,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
38,2023-08-21 11:35:48,851,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
39,2023-08-21 11:37:35,958,SUCCESS,516380963897,99.53,1,0,0,1,0
40,2023-08-21 11:37:35,958,SUCCESS,518822784250,100.0,0,0,0,0,0
41,2023-08-21 11:37:47,970,RUN_CODE_ERROR,None,None,2,0,0,2,0
42,2023-08-21 11:39:35,1078,SUCCESS,519234249220,100.08,2,0,0,2,0
43,2023-08-21 11:41:24,1187,RUN_TIMEOUT,None,None,2,0,0,2,0
44,2023-08-21 11:43:07,1290,SUCCESS,524661457760,101.13,2,0,0,2,0
45,2023-08-21 11:43:11,1294,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
46,2023-08-21 11:43:14,1297,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
47,2023-08-21 11:43:16,1299,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
48,2023-08-21 11:45:04,1407,SUCCESS,515652376838,99.39,2,0,0,2,0
49,2023-08-21 11:45:08,1411,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
50,2023-08-21 11:45:08,1411,SUCCESS,516380963897,99.53,1,0,0,1,0
51,2023-08-21 11:46:51,1514,SUCCESS,510168823042,98.33,3,0,0,3,0
52,2023-08-21 11:46:51,1514,SUCCESS,515652376838,99.39,2,0,0,2,0
53,2023-08-21 11:46:53,1516,COMPILE_CODE_ERROR,None,None,4,0,1,3,0
54,2023-08-21 11:48:41,1624,SUCCESS,520134951385,100.25,4,0,0,3,1
55,2023-08-21 11:48:46,1629,COMPILE_CODE_ERROR,None,None,4,0,0,4,0
56,2023-08-21 11:50:33,1736,SUCCESS,519270663700,100.09,2,0,0,2,0
57,2023-08-21 11:50:37,1740,COMPILE_CODE_ERROR,None,None,4,0,0,3,1
58,2023-08-21 11:50:39,1742,COMPILE_CODE_ERROR,None,None,4,0,0,3,1
59,2023-08-21 11:50:46,1749,COMPILE_CODE_ERROR,None,None,4,0,0,4,0
60,2023-08-21 11:50:47,1750,COMPILE_CODE_ERROR,None,None,4,0,0,4,0
61,2023-08-21 11:52:32,1855,SUCCESS,521618637625,100.54,2,0,0,2,0
62,2023-08-21 11:52:49,1872,RUN_CODE_ERROR,None,None,4,0,0,4,0
63,2023-08-21 11:52:54,1877,COMPILE_CODE_ERROR,None,None,4,0,0,3,1
64,2023-08-21 11:54:43,1986,SUCCESS,510088837102,98.32,4,0,0,4,0
65,2023-08-21 11:54:51,1994,COMPILE_CODE_ERROR,None,None,5,0,0,5,0
66,2023-08-21 11:56:36,2099,SUCCESS,515897662712,99.44,3,0,0,3,0
67,2023-08-21 11:56:47,2110,RUN_CODE_ERROR,None,None,5,0,0,5,0
68,2023-08-21 11:56:52,2115,COMPILE_CODE_ERROR,None,None,5,0,0,4,1
69,2023-08-21 11:56:55,2118,COMPILE_CODE_ERROR,None,None,5,0,0,4,1
70,2023-08-21 11:58:41,2224,SUCCESS,525154435201,101.22,3,0,0,3,0
71,2023-08-21 12:00:32,2335,SUCCESS,521650356397,100.54,5,0,0,4,1
72,2023-08-21 12:02:17,2440,SUCCESS,519670487875,100.16,5,0,0,5,0
73,2023-08-21 12:02:17,2440,SUCCESS,510168823042,98.33,3,0,0,3,0
74,2023-08-21 12:04:06,2549,SUCCESS,523113573531,100.83,5,0,0,4,1
75,2023-08-21 12:05:52,2655,SUCCESS,510480421906,98.39,3,0,0,3,0
