variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-18 16:12:20,0,INITIAL SUCCESS,110225801166,100,0,0,0,0,0
0-1,2023-08-18 16:12:20,73,SUCCESS,110225801166,100.0,0,0,0,0,0
0-2,2023-08-18 16:12:20,73,SUCCESS,110225801166,100.0,0,0,0,0,0
0-3,2023-08-18 16:12:20,73,SUCCESS,110225801166,100.0,0,0,0,0,0
0-4,2023-08-18 16:12:20,73,SUCCESS,110225801166,100.0,0,0,0,0,0
0-5,2023-08-18 16:12:20,73,SUCCESS,110225801166,100.0,0,0,0,0,0
0-6,2023-08-18 16:12:20,73,SUCCESS,110225801166,100.0,0,0,0,0,0
0-7,2023-08-18 16:12:20,73,SUCCESS,110225801166,100.0,0,0,0,0,0
0-8,2023-08-18 16:12:20,73,SUCCESS,110225801166,100.0,0,0,0,0,0
0-9,2023-08-18 16:12:20,73,SUCCESS,110225801166,100.0,0,0,0,0,0
0-10,2023-08-18 16:12:20,73,SUCCESS,110225801166,100.0,0,0,0,0,0
0-11,2023-08-18 16:12:21,74,COMPILE_CODE_ERROR,None,None,6,5,0,0,1
0-12,2023-08-18 16:12:21,74,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
0-13,2023-08-18 16:13:30,143,SUCCESS,122153904586,110.82,2,1,1,0,0
0-14,2023-08-18 16:14:28,201,SUCCESS,98648536059,89.5,2,2,0,0,0
0-15,2023-08-18 16:15:42,275,RUN_TIMEOUT,None,None,2,2,0,0,0
0-16,2023-08-18 16:16:39,332,SUCCESS,103599977160,93.99,3,3,0,0,0
0-17,2023-08-18 16:17:29,382,SUCCESS,85392799430,77.47,3,3,0,0,0
0-18,2023-08-18 16:17:30,383,COMPILE_CODE_ERROR,None,None,2,1,0,1,0
0-19,2023-08-18 16:17:30,383,COMPILE_CODE_ERROR,None,None,4,3,0,1,0
0-20,2023-08-18 16:18:28,441,SUCCESS,97375900587,88.34,1,1,0,0,0
0-21,2023-08-18 16:19:27,500,SUCCESS,98674379288,89.52,3,2,0,1,0
0-22,2023-08-18 16:20:30,563,SUCCESS,106303404712,96.44,2,2,0,0,0
0-23,2023-08-18 16:21:44,637,RUN_TIMEOUT,None,None,3,3,0,0,0
0-24,2023-08-18 16:22:41,694,SUCCESS,96144823161,87.23,3,3,0,0,0
0-25,2023-08-18 16:22:42,695,COMPILE_CODE_ERROR,None,None,4,3,1,0,0
0-26,2023-08-18 16:23:56,769,RUN_TIMEOUT,None,None,4,3,0,0,1
0-27,2023-08-18 16:23:59,772,RUN_CODE_ERROR,None,None,2,1,0,1,0
0-28,2023-08-18 16:25:04,837,SUCCESS,110254940786,100.03,1,1,0,0,0
0-29,2023-08-18 16:26:01,894,SUCCESS,96640721150,87.68,2,2,0,0,0
0-30,2023-08-18 16:26:01,894,COMPILE_CODE_ERROR,None,None,4,3,1,0,0
0-31,2023-08-18 16:26:54,947,SUCCESS,88210449939,80.03,1,1,0,0,0
0-32,2023-08-18 16:26:57,950,RUN_CODE_ERROR,None,None,2,1,0,1,0
0-33,2023-08-18 16:26:57,950,COMPILE_CODE_ERROR,None,None,6,5,0,0,1
0-34,2023-08-18 16:26:58,951,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
0-35,2023-08-18 16:26:58,951,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
0-36,2023-08-18 16:26:58,951,COMPILE_CODE_ERROR,None,None,2,1,0,0,1
0-37,2023-08-18 16:26:59,952,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
0-38,2023-08-18 16:26:59,952,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
0-39,2023-08-18 16:28:04,1017,SUCCESS,110217012730,99.99,1,1,0,0,0
0-40,2023-08-18 16:29:07,1080,SUCCESS,106721101756,96.82,4,4,0,0,0
0-41,2023-08-18 16:30:13,1146,SUCCESS,109863068946,99.67,1,1,0,0,0
0-42,2023-08-18 16:31:15,1208,SUCCESS,103530399133,93.93,3,3,0,0,0
0-43,2023-08-18 16:31:15,1208,COMPILE_CODE_ERROR,None,None,4,3,1,0,0
0-44,2023-08-18 16:32:29,1282,RUN_TIMEOUT,None,None,1,1,0,0,0
0-45,2023-08-18 16:33:43,1356,RUN_TIMEOUT,None,None,4,3,0,1,0
0-46,2023-08-18 16:34:58,1431,RUN_TIMEOUT,None,None,5,5,0,0,0
0-47,2023-08-18 16:35:01,1434,RUN_CODE_ERROR,None,None,4,3,0,0,1
0-48,2023-08-18 16:36:15,1508,RUN_TIMEOUT,None,None,2,2,0,0,0
0-49,2023-08-18 16:37:29,1582,RUN_TIMEOUT,None,None,7,7,0,0,0
0-50,2023-08-18 16:38:35,1648,SUCCESS,112637475844,102.19,5,5,0,0,0
0-51,2023-08-18 16:38:35,1648,SUCCESS,109863068946,99.67,1,1,0,0,0
0-52,2023-08-18 16:38:35,1648,SUCCESS,110225801166,100.0,0,0,0,0,0
