variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-19 01:44:33,0,INITIAL SUCCESS,48103900775,100,0,0,0,0,0
0-1,2023-08-19 01:44:33,46,SUCCESS,48103900775,100.0,0,0,0,0,0
0-2,2023-08-19 01:44:33,46,SUCCESS,48103900775,100.0,0,0,0,0,0
0-3,2023-08-19 01:44:33,46,SUCCESS,48103900775,100.0,0,0,0,0,0
0-4,2023-08-19 01:44:33,46,SUCCESS,48103900775,100.0,0,0,0,0,0
0-5,2023-08-19 01:44:33,46,SUCCESS,48103900775,100.0,0,0,0,0,0
0-6,2023-08-19 01:44:33,46,SUCCESS,48103900775,100.0,0,0,0,0,0
0-7,2023-08-19 01:44:33,46,SUCCESS,48103900775,100.0,0,0,0,0,0
0-8,2023-08-19 01:44:34,47,SUCCESS,48103900775,100.0,0,0,0,0,0
0-9,2023-08-19 01:44:34,47,SUCCESS,48103900775,100.0,0,0,0,0,0
0-10,2023-08-19 01:44:34,47,SUCCESS,48103900775,100.0,0,0,0,0,0
0-11,2023-08-19 01:45:04,77,SUCCESS,48081430459,99.95,2,2,0,0,0
0-12,2023-08-19 01:45:38,111,SUCCESS,54323101000,112.93,3,3,0,0,0
0-13,2023-08-19 01:46:18,151,RUN_TIMEOUT,None,None,3,3,0,0,0
0-14,2023-08-19 01:46:58,191,RUN_TIMEOUT,None,None,6,6,0,0,0
0-15,2023-08-19 01:47:33,226,SUCCESS,53415592950,111.04,3,3,0,0,0
0-16,2023-08-19 01:47:49,242,SUCCESS,23191465408,48.21,1,1,0,0,0
0-17,2023-08-19 01:48:16,269,SUCCESS,41652929098,86.59,3,3,0,0,0
0-18,2023-08-19 01:48:49,302,SUCCESS,52934843868,110.04,3,3,0,0,0
0-19,2023-08-19 01:49:15,328,SUCCESS,40987484536,85.21,1,1,0,0,0
0-20,2023-08-19 01:49:56,369,RUN_TIMEOUT,None,None,6,6,0,0,0
0-21,2023-08-19 01:50:20,393,SUCCESS,37252188414,77.44,3,3,0,0,0
0-22,2023-08-19 01:50:39,412,SUCCESS,28759127482,59.79,1,1,0,0,0
0-23,2023-08-19 01:51:14,447,SUCCESS,54714993769,113.74,3,3,0,0,0
0-24,2023-08-19 01:51:44,477,SUCCESS,49449354441,102.8,3,3,0,0,0
0-25,2023-08-19 01:52:15,508,SUCCESS,47137179342,97.99,5,5,0,0,0
0-26,2023-08-19 01:52:43,536,SUCCESS,44172833490,91.83,3,3,0,0,0
0-27,2023-08-19 01:53:14,567,SUCCESS,48095370718,99.98,3,3,0,0,0
0-28,2023-08-19 01:53:14,567,SUCCESS,48103900775,100.0,0,0,0,0,0
0-29,2023-08-19 01:53:47,600,SUCCESS,50101568783,104.15,3,3,0,0,0
0-30,2023-08-19 01:54:27,640,RUN_TIMEOUT,None,None,4,4,0,0,0
0-31,2023-08-19 01:54:58,671,SUCCESS,49450675765,102.8,1,1,0,0,0
0-32,2023-08-19 01:55:26,699,SUCCESS,41670906516,86.63,1,1,0,0,0
0-33,2023-08-19 01:55:57,730,SUCCESS,49135237470,102.14,5,5,0,0,0
0-34,2023-08-19 01:56:28,761,SUCCESS,48125952284,100.05,1,1,0,0,0
0-35,2023-08-19 01:56:57,790,SUCCESS,43858106266,91.17,2,2,0,0,0
0-36,2023-08-19 01:57:25,818,SUCCESS,44404234540,92.31,1,1,0,0,0
0-37,2023-08-19 01:57:25,818,SUCCESS,48103900775,100.0,0,0,0,0,0
0-38,2023-08-19 01:58:05,858,RUN_TIMEOUT,None,None,4,4,0,0,0
0-39,2023-08-19 01:58:32,885,SUCCESS,41650216700,86.58,2,2,0,0,0
0-40,2023-08-19 01:58:32,885,SUCCESS,48103900775,100.0,0,0,0,0,0
0-41,2023-08-19 01:59:02,915,SUCCESS,48838745052,101.53,3,3,0,0,0
0-42,2023-08-19 01:59:42,955,RUN_TIMEOUT,None,None,2,2,0,0,0
0-43,2023-08-19 02:00:14,987,SUCCESS,52920543038,110.01,1,1,0,0,0
0-44,2023-08-19 02:00:14,987,SUCCESS,48103900775,100.0,0,0,0,0,0
0-45,2023-08-19 02:00:55,1028,RUN_TIMEOUT,None,None,2,2,0,0,0
0-46,2023-08-19 02:01:23,1056,SUCCESS,44847918854,93.23,3,3,0,0,0
0-47,2023-08-19 02:02:01,1094,SUCCESS,60522991202,125.82,3,3,0,0,0
0-48,2023-08-19 02:02:01,1094,SUCCESS,52920543038,110.01,1,1,0,0,0
0-49,2023-08-19 02:02:01,1094,SUCCESS,48103900775,100.0,1,1,0,0,0
0-50,2023-08-19 02:02:40,1133,SUCCESS,64267616224,133.6,6,6,0,0,0
0-51,2023-08-19 02:03:18,1171,SUCCESS,61051885951,126.92,4,4,0,0,0
0-52,2023-08-19 02:03:51,1204,SUCCESS,53993176291,112.24,3,3,0,0,0
0-53,2023-08-19 02:04:20,1233,SUCCESS,47458469283,98.66,3,3,0,0,0
0-54,2023-08-19 02:04:52,1265,SUCCESS,50966145606,105.95,1,1,0,0,0
0-55,2023-08-19 02:05:32,1305,RUN_TIMEOUT,None,None,1,1,0,0,0
0-56,2023-08-19 02:06:12,1345,RUN_TIMEOUT,None,None,5,5,0,0,0
