variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-19 17:44:09,0,INITIAL SUCCESS,48116113085,100,0,0,0,0,0
0-1,2023-08-19 17:44:09,39,SUCCESS,48116113085,100.0,0,0,0,0,0
0-2,2023-08-19 17:44:09,39,SUCCESS,48116113085,100.0,0,0,0,0,0
0-3,2023-08-19 17:44:09,39,SUCCESS,48116113085,100.0,0,0,0,0,0
0-4,2023-08-19 17:44:09,39,SUCCESS,48116113085,100.0,0,0,0,0,0
0-5,2023-08-19 17:44:09,39,SUCCESS,48116113085,100.0,0,0,0,0,0
0-6,2023-08-19 17:44:09,39,SUCCESS,48116113085,100.0,0,0,0,0,0
0-7,2023-08-19 17:44:09,39,SUCCESS,48116113085,100.0,0,0,0,0,0
0-8,2023-08-19 17:44:09,39,SUCCESS,48116113085,100.0,0,0,0,0,0
0-9,2023-08-19 17:44:09,39,SUCCESS,48116113085,100.0,0,0,0,0,0
0-10,2023-08-19 17:44:09,39,SUCCESS,48116113085,100.0,0,0,0,0,0
0-11,2023-08-19 17:44:39,69,SUCCESS,48109529137,99.99,1,0,0,1,0
0-12,2023-08-19 17:44:39,69,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
0-13,2023-08-19 17:44:40,70,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
0-14,2023-08-19 17:45:10,100,SUCCESS,48087173359,99.94,1,0,1,0,0
0-15,2023-08-19 17:45:40,130,SUCCESS,48139281432,100.05,1,0,0,1,0
0-16,2023-08-19 17:46:11,161,SUCCESS,48104751310,99.98,1,0,1,0,0
0-17,2023-08-19 17:46:40,190,SUCCESS,48090999105,99.95,1,0,1,0,0
0-18,2023-08-19 17:46:40,190,SUCCESS,48116113085,100.0,0,0,0,0,0
0-19,2023-08-19 17:46:40,190,SUCCESS,48116113085,100.0,0,0,0,0,0
0-20,2023-08-19 17:46:40,190,SUCCESS,48116113085,100.0,0,0,0,0,0
0-21,2023-08-19 17:46:40,190,SUCCESS,48116113085,100.0,0,0,0,0,0
0-22,2023-08-19 17:47:10,220,SUCCESS,48093150280,99.95,1,0,0,0,1
0-23,2023-08-19 17:47:10,220,SUCCESS,48116113085,100.0,0,0,0,0,0
0-24,2023-08-19 17:47:14,224,RUN_CODE_ERROR,None,None,1,0,1,0,0
0-25,2023-08-19 17:47:14,224,SUCCESS,48116113085,100.0,0,0,0,0,0
0-26,2023-08-19 17:47:14,224,SUCCESS,48116113085,100.0,0,0,0,0,0
0-27,2023-08-19 17:47:14,224,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-28,2023-08-19 17:47:44,254,SUCCESS,48244979995,100.27,1,0,0,0,1
0-29,2023-08-19 17:47:45,255,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
0-30,2023-08-19 17:47:45,255,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-31,2023-08-19 17:48:15,285,SUCCESS,48108876210,99.98,1,0,1,0,0
0-32,2023-08-19 17:48:15,285,SUCCESS,48116113085,100.0,0,0,0,0,0
0-33,2023-08-19 17:48:15,285,SUCCESS,48116113085,100.0,0,0,0,0,0
0-34,2023-08-19 17:48:15,285,SUCCESS,48116113085,100.0,0,0,0,0,0
0-35,2023-08-19 17:48:18,288,RUN_CODE_ERROR,None,None,1,0,0,1,0
0-36,2023-08-19 17:48:19,289,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-37,2023-08-19 17:48:49,319,SUCCESS,48183895233,100.14,1,0,1,0,0
0-38,2023-08-19 17:48:49,319,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
0-39,2023-08-19 17:48:49,319,SUCCESS,48116113085,100.0,0,0,0,0,0
0-40,2023-08-19 17:48:49,319,SUCCESS,48116113085,100.0,0,0,0,0,0
0-41,2023-08-19 17:48:49,319,SUCCESS,48116113085,100.0,0,0,0,0,0
0-42,2023-08-19 17:48:49,319,SUCCESS,48116113085,100.0,0,0,0,0,0
0-43,2023-08-19 17:48:50,320,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-44,2023-08-19 17:49:26,356,SUCCESS,59298175007,123.24,1,0,1,0,0
0-45,2023-08-19 17:49:26,356,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-46,2023-08-19 17:49:26,356,SUCCESS,48116113085,100.0,0,0,0,0,0
0-47,2023-08-19 17:49:26,356,SUCCESS,48116113085,100.0,0,0,0,0,0
0-48,2023-08-19 17:49:26,356,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
0-49,2023-08-19 17:49:26,356,SUCCESS,48116113085,100.0,0,0,0,0,0
0-50,2023-08-19 17:49:26,356,SUCCESS,48116113085,100.0,0,0,0,0,0
0-51,2023-08-19 17:49:27,357,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-52,2023-08-19 17:49:27,357,SUCCESS,48116113085,100.0,0,0,0,0,0
0-53,2023-08-19 17:49:27,357,SUCCESS,48116113085,100.0,0,0,0,0,0
0-54,2023-08-19 17:49:57,387,SUCCESS,48116001012,100.0,1,0,1,0,0
0-55,2023-08-19 17:49:57,387,SUCCESS,48116113085,100.0,0,0,0,0,0
0-56,2023-08-19 17:49:57,387,SUCCESS,48116113085,100.0,0,0,0,0,0
0-57,2023-08-19 17:49:57,387,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
0-58,2023-08-19 17:49:58,388,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
0-59,2023-08-19 17:49:58,388,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
0-60,2023-08-19 17:49:58,388,SUCCESS,48116113085,100.0,0,0,0,0,0
0-61,2023-08-19 17:49:58,388,SUCCESS,48116113085,100.0,0,0,0,0,0
0-62,2023-08-19 17:49:58,388,SUCCESS,48116113085,100.0,0,0,0,0,0
0-63,2023-08-19 17:49:58,388,SUCCESS,48116113085,100.0,0,0,0,0,0
0-64,2023-08-19 17:50:28,418,SUCCESS,47528351431,98.78,1,0,0,1,0
0-65,2023-08-19 17:50:29,419,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
0-66,2023-08-19 17:50:29,419,SUCCESS,48116113085,100.0,0,0,0,0,0
0-67,2023-08-19 17:50:29,419,SUCCESS,48116113085,100.0,0,0,0,0,0
0-68,2023-08-19 17:50:29,419,SUCCESS,48116113085,100.0,0,0,0,0,0
0-69,2023-08-19 17:50:29,419,SUCCESS,48116113085,100.0,0,0,0,0,0
0-70,2023-08-19 17:50:29,419,SUCCESS,48116113085,100.0,0,0,0,0,0
0-71,2023-08-19 17:50:29,419,SUCCESS,48116113085,100.0,0,0,0,0,0
0-72,2023-08-19 17:50:29,419,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
0-73,2023-08-19 17:50:29,419,SUCCESS,48116113085,100.0,0,0,0,0,0
