variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-04 08:27:16,0,INITIAL SUCCESS,110227568389,100,0,0,0,0,0
0-1,2023-08-04 08:27:16,71,SUCCESS,110227568389,100.0,0,0,0,0,0
0-2,2023-08-04 08:27:16,71,SUCCESS,110227568389,100.0,0,0,0,0,0
0-3,2023-08-04 08:28:31,146,RUN_TIMEOUT,None,None,4,4,0,0,0
0-4,2023-08-04 08:29:45,220,RUN_TIMEOUT,None,None,3,3,0,0,0
0-5,2023-08-04 08:30:42,277,SUCCESS,91588202073,83.09,2,2,0,0,0
0-6,2023-08-04 08:31:57,352,RUN_TIMEOUT,None,None,5,5,0,0,0
0-7,2023-08-04 08:33:11,426,RUN_TIMEOUT,None,None,3,3,0,0,0
0-8,2023-08-04 08:34:20,495,SUCCESS,110230081906,100.0,2,2,0,0,0
0-9,2023-08-04 08:35:04,539,SUCCESS,65498891085,59.42,1,1,0,0,0
0-10,2023-08-04 08:35:43,578,SUCCESS,57285209041,51.97,1,1,0,0,0
1-1,2023-08-04 08:35:43,578,SUCCESS,110227568389,100.0,0,0,0,0,0
1-2,2023-08-04 08:36:57,652,RUN_TIMEOUT,None,None,6,6,0,0,0
1-3,2023-08-04 08:36:57,652,SUCCESS,57285209041,51.97,1,1,0,0,0
1-4,2023-08-04 08:36:57,652,SUCCESS,110227568389,100.0,0,0,0,0,0
1-5,2023-08-04 08:36:57,652,SUCCESS,91588202073,83.09,2,2,0,0,0
1-6,2023-08-04 08:38:11,726,RUN_TIMEOUT,None,None,3,3,0,0,0
1-7,2023-08-04 08:38:11,726,SUCCESS,57285209041,51.97,1,1,0,0,0
1-8,2023-08-04 08:38:11,726,SUCCESS,110227568389,100.0,0,0,0,0,0
1-9,2023-08-04 08:39:08,783,SUCCESS,88214139909,80.03,2,2,0,0,0
1-10,2023-08-04 08:40:16,851,SUCCESS,110235834213,100.01,1,1,0,0,0
2-1,2023-08-04 08:40:16,851,SUCCESS,57285209041,51.97,1,1,0,0,0
2-2,2023-08-04 08:40:16,851,SUCCESS,57285209041,51.97,1,1,0,0,0
2-3,2023-08-04 08:41:31,926,RUN_TIMEOUT,None,None,2,2,0,0,0
2-4,2023-08-04 08:41:31,926,SUCCESS,110227568389,100.0,0,0,0,0,0
2-5,2023-08-04 08:41:31,926,SUCCESS,91588202073,83.09,2,2,0,0,0
