variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-04 08:28:17,0,INITIAL SUCCESS,66134076946,100,0,0,0,0,0
0-1,2023-08-04 08:28:17,49,SUCCESS,66134076946,100.0,0,0,0,0,0
0-2,2023-08-04 08:28:17,49,SUCCESS,66134076946,100.0,0,0,0,0,0
0-3,2023-08-04 08:28:17,49,SUCCESS,66134076946,100.0,0,0,0,0,0
0-4,2023-08-04 08:28:17,49,SUCCESS,66134076946,100.0,0,0,0,0,0
0-5,2023-08-04 08:28:17,49,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
0-6,2023-08-04 08:28:17,49,SUCCESS,66134076946,100.0,0,0,0,0,0
0-7,2023-08-04 08:28:17,49,SUCCESS,66134076946,100.0,0,0,0,0,0
0-8,2023-08-04 08:28:17,49,SUCCESS,66134076946,100.0,0,0,0,0,0
0-9,2023-08-04 08:28:18,50,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
0-10,2023-08-04 08:28:18,50,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
1-1,2023-08-04 08:28:18,50,SUCCESS,66134076946,100.0,0,0,0,0,0
1-2,2023-08-04 08:28:18,50,SUCCESS,66134076946,100.0,0,0,0,0,0
1-3,2023-08-04 08:28:18,50,SUCCESS,66134076946,100.0,0,0,0,0,0
1-4,2023-08-04 08:28:18,50,SUCCESS,66134076946,100.0,0,0,0,0,0
1-5,2023-08-04 08:28:18,50,SUCCESS,66134076946,100.0,0,0,0,0,0
1-6,2023-08-04 08:28:18,50,SUCCESS,66134076946,100.0,0,0,0,0,0
1-7,2023-08-04 08:28:19,51,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
1-8,2023-08-04 08:28:19,51,SUCCESS,66134076946,100.0,0,0,0,0,0
1-9,2023-08-04 08:28:19,51,SUCCESS,66134076946,100.0,0,0,0,0,0
1-10,2023-08-04 08:28:19,51,SUCCESS,66134076946,100.0,0,0,0,0,0
2-1,2023-08-04 08:28:19,51,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
2-2,2023-08-04 08:28:19,51,SUCCESS,66134076946,100.0,0,0,0,0,0
2-3,2023-08-04 08:28:19,51,SUCCESS,66134076946,100.0,0,0,0,0,0
2-4,2023-08-04 08:28:19,51,SUCCESS,66134076946,100.0,0,0,0,0,0
2-5,2023-08-04 08:28:19,51,SUCCESS,66134076946,100.0,0,0,0,0,0
2-6,2023-08-04 08:28:20,52,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
2-7,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
2-8,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
2-9,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
2-10,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
3-1,2023-08-04 08:28:20,52,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
3-2,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
3-3,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
3-4,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
3-5,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
3-6,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
3-7,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
3-8,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
3-9,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
3-10,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
4-1,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
4-2,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
4-3,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
4-4,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
4-5,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
4-6,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
4-7,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
4-8,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
4-9,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
4-10,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
5-1,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
5-2,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
5-3,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
5-4,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
5-5,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
5-6,2023-08-04 08:28:20,52,SUCCESS,66134076946,100.0,0,0,0,0,0
5-7,2023-08-04 08:28:21,53,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
5-8,2023-08-04 08:28:21,53,SUCCESS,66134076946,100.0,0,0,0,0,0
5-9,2023-08-04 08:28:21,53,SUCCESS,66134076946,100.0,0,0,0,0,0
5-10,2023-08-04 08:28:21,53,SUCCESS,66134076946,100.0,0,0,0,0,0
6-1,2023-08-04 08:28:21,53,SUCCESS,66134076946,100.0,0,0,0,0,0
6-2,2023-08-04 08:28:21,53,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
6-3,2023-08-04 08:28:21,53,SUCCESS,66134076946,100.0,0,0,0,0,0
6-4,2023-08-04 08:28:21,53,SUCCESS,66134076946,100.0,0,0,0,0,0
6-5,2023-08-04 08:28:21,53,SUCCESS,66134076946,100.0,0,0,0,0,0
6-6,2023-08-04 08:28:21,53,SUCCESS,66134076946,100.0,0,0,0,0,0
6-7,2023-08-04 08:28:21,53,SUCCESS,66134076946,100.0,0,0,0,0,0
6-8,2023-08-04 08:28:22,54,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
6-9,2023-08-04 08:28:22,54,SUCCESS,66134076946,100.0,0,0,0,0,0
6-10,2023-08-04 08:28:22,54,SUCCESS,66134076946,100.0,0,0,0,0,0
7-1,2023-08-04 08:28:22,54,SUCCESS,66134076946,100.0,0,0,0,0,0
7-2,2023-08-04 08:28:22,54,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
7-3,2023-08-04 08:28:22,54,SUCCESS,66134076946,100.0,0,0,0,0,0
