variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-01 23:42:18,0,INITIAL SUCCESS,144621545337,100,0,0,0,0,0
1,2023-08-01 23:42:18,98,SUCCESS,144621545337,100.0,1,1,0,0,0
2,2023-08-01 23:43:54,194,RUN_TIMEOUT,None,None,2,2,0,0,0
3,2023-08-01 23:43:54,194,SUCCESS,144621545337,100.0,2,2,0,0,0
4,2023-08-01 23:43:54,194,SUCCESS,144621545337,100.0,1,1,0,0,0
5,2023-08-01 23:43:54,194,SUCCESS,144621545337,100.0,2,2,0,0,0
6,2023-08-01 23:43:54,194,SUCCESS,144621545337,100.0,1,1,0,0,0
7,2023-08-01 23:43:54,194,SUCCESS,144621545337,100.0,2,2,0,0,0
8,2023-08-01 23:43:54,194,SUCCESS,144621545337,100.0,3,3,0,0,0
9,2023-08-01 23:45:24,284,SUCCESS,144496161211,99.91,4,4,0,0,0
10,2023-08-01 23:45:24,284,SUCCESS,144496161211,99.91,5,5,0,0,0
11,2023-08-01 23:45:24,284,SUCCESS,144496161211,99.91,4,4,0,0,0
12,2023-08-01 23:45:24,284,SUCCESS,144496161211,99.91,3,3,0,0,0
13,2023-08-01 23:45:24,284,SUCCESS,144621545337,100.0,2,2,0,0,0
14,2023-08-01 23:45:24,284,SUCCESS,144496161211,99.91,2,2,0,0,0
15,2023-08-01 23:45:24,284,SUCCESS,144621545337,100.0,1,1,0,0,0
16,2023-08-01 23:46:59,379,RUN_TIMEOUT,None,None,3,3,0,0,0
17,2023-08-01 23:48:30,470,SUCCESS,144573816683,99.97,3,3,0,0,0
18,2023-08-01 23:50:06,566,RUN_TIMEOUT,None,None,3,3,0,0,0
19,2023-08-01 23:50:06,566,SUCCESS,144496161211,99.91,1,1,0,0,0
20,2023-08-01 23:51:39,659,SUCCESS,144538157992,99.94,2,2,0,0,0
21,2023-08-01 23:53:14,754,RUN_TIMEOUT,None,None,2,2,0,0,0
22,2023-08-01 23:53:14,754,SUCCESS,144621545337,100.0,0,0,0,0,0
23,2023-08-01 23:53:14,754,RUN_TIMEOUT,None,None,2,2,0,0,0
24,2023-08-01 23:54:47,847,SUCCESS,144460043095,99.89,2,2,0,0,0
25,2023-08-01 23:56:20,940,SUCCESS,144600499342,99.99,1,1,0,0,0
26,2023-08-01 23:57:55,1035,RUN_TIMEOUT,None,None,3,3,0,0,0
27,2023-08-01 23:57:55,1035,SUCCESS,144460043095,99.89,3,3,0,0,0
28,2023-08-01 23:59:31,1131,RUN_TIMEOUT,None,None,4,4,0,0,0
29,2023-08-01 23:59:31,1131,SUCCESS,144496161211,99.91,2,2,0,0,0
30,2023-08-01 23:59:31,1131,SUCCESS,144460043095,99.89,2,2,0,0,0
31,2023-08-01 23:59:31,1131,SUCCESS,144496161211,99.91,1,1,0,0,0
32,2023-08-02 00:01:06,1226,RUN_TIMEOUT,None,None,3,3,0,0,0
33,2023-08-02 00:01:06,1226,SUCCESS,144600499342,99.99,1,1,0,0,0
34,2023-08-02 00:02:41,1321,RUN_TIMEOUT,None,None,3,3,0,0,0
35,2023-08-02 00:04:17,1417,RUN_TIMEOUT,None,None,3,3,0,0,0
36,2023-08-02 00:04:17,1417,SUCCESS,144460043095,99.89,3,3,0,0,0
37,2023-08-02 00:04:17,1417,SUCCESS,144460043095,99.89,2,2,0,0,0
38,2023-08-02 00:05:52,1512,RUN_TIMEOUT,None,None,3,3,0,0,0
39,2023-08-02 00:07:22,1602,SUCCESS,144540868615,99.94,3,3,0,0,0
40,2023-08-02 00:08:58,1698,RUN_TIMEOUT,None,None,3,3,0,0,0
41,2023-08-02 00:10:33,1793,RUN_TIMEOUT,None,None,3,3,0,0,0
42,2023-08-02 00:10:33,1793,SUCCESS,144496161211,99.91,1,1,0,0,0
43,2023-08-02 00:10:33,1793,RUN_TIMEOUT,None,None,3,3,0,0,0
44,2023-08-02 00:12:08,1888,RUN_TIMEOUT,None,None,3,3,0,0,0
45,2023-08-02 00:12:08,1888,RUN_TIMEOUT,None,None,3,3,0,0,0
46,2023-08-02 00:12:08,1888,SUCCESS,144460043095,99.89,3,3,0,0,0
47,2023-08-02 00:12:08,1888,SUCCESS,144460043095,99.89,4,4,0,0,0
48,2023-08-02 00:12:08,1888,SUCCESS,144460043095,99.89,3,3,0,0,0
49,2023-08-02 00:12:08,1888,SUCCESS,144460043095,99.89,2,2,0,0,0
50,2023-08-02 00:12:08,1888,SUCCESS,144496161211,99.91,1,1,0,0,0
51,2023-08-02 00:13:44,1984,RUN_TIMEOUT,None,None,3,3,0,0,0
52,2023-08-02 00:13:44,1984,SUCCESS,144600499342,99.99,1,1,0,0,0
53,2023-08-02 00:15:19,2079,RUN_TIMEOUT,None,None,3,3,0,0,0
54,2023-08-02 00:16:51,2171,SUCCESS,144509175053,99.92,3,3,0,0,0
55,2023-08-02 00:16:51,2171,SUCCESS,144460043095,99.89,3,3,0,0,0
56,2023-08-02 00:16:51,2171,SUCCESS,144460043095,99.89,2,2,0,0,0
57,2023-08-02 00:18:27,2267,RUN_TIMEOUT,None,None,3,3,0,0,0
58,2023-08-02 00:18:27,2267,RUN_TIMEOUT,None,None,3,3,0,0,0
59,2023-08-02 00:18:27,2267,RUN_TIMEOUT,None,None,3,3,0,0,0
60,2023-08-02 00:18:27,2267,SUCCESS,144460043095,99.89,3,3,0,0,0
61,2023-08-02 00:20:02,2362,RUN_TIMEOUT,None,None,4,4,0,0,0
62,2023-08-02 00:21:37,2457,RUN_TIMEOUT,None,None,4,4,0,0,0
63,2023-08-02 00:21:37,2457,RUN_TIMEOUT,None,None,4,4,0,0,0
64,2023-08-02 00:21:37,2457,SUCCESS,144460043095,99.89,2,2,0,0,0
65,2023-08-02 00:21:37,2457,SUCCESS,144460043095,99.89,3,3,0,0,0
66,2023-08-02 00:21:37,2457,SUCCESS,144496161211,99.91,2,2,0,0,0
67,2023-08-02 00:21:37,2457,SUCCESS,144460043095,99.89,2,2,0,0,0
68,2023-08-02 00:21:37,2457,SUCCESS,144600499342,99.99,1,1,0,0,0
69,2023-08-02 00:23:10,2550,SUCCESS,144514642100,99.93,3,3,0,0,0
70,2023-08-02 00:23:10,2550,SUCCESS,144460043095,99.89,3,3,0,0,0
71,2023-08-02 00:23:10,2550,SUCCESS,144496161211,99.91,2,2,0,0,0
72,2023-08-02 00:23:10,2550,SUCCESS,144600499342,99.99,2,2,0,0,0
73,2023-08-02 00:24:45,2645,RUN_TIMEOUT,None,None,4,4,0,0,0
74,2023-08-02 00:24:45,2645,SUCCESS,144460043095,99.89,2,2,0,0,0
75,2023-08-02 00:24:45,2645,SUCCESS,144600499342,99.99,1,1,0,0,0
76,2023-08-02 00:24:45,2645,RUN_TIMEOUT,None,None,3,3,0,0,0
77,2023-08-02 00:26:21,2741,RUN_TIMEOUT,None,None,3,3,0,0,0
78,2023-08-02 00:27:54,2834,SUCCESS,144611350098,99.99,3,3,0,0,0
79,2023-08-02 00:27:54,2834,SUCCESS,144496161211,99.91,1,1,0,0,0
80,2023-08-02 00:29:29,2929,RUN_TIMEOUT,None,None,3,3,0,0,0
81,2023-08-02 00:31:05,3025,RUN_TIMEOUT,None,None,3,3,0,0,0
82,2023-08-02 00:32:40,3120,RUN_TIMEOUT,None,None,3,3,0,0,0
83,2023-08-02 00:34:14,3214,SUCCESS,144512256597,99.92,3,3,0,0,0
84,2023-08-02 00:34:14,3214,RUN_TIMEOUT,None,None,3,3,0,0,0
85,2023-08-02 00:35:49,3309,RUN_TIMEOUT,None,None,3,3,0,0,0
86,2023-08-02 00:35:49,3309,RUN_TIMEOUT,None,None,3,3,0,0,0
87,2023-08-02 00:35:49,3309,SUCCESS,144460043095,99.89,3,3,0,0,0
88,2023-08-02 00:35:49,3309,SUCCESS,144600499342,99.99,2,2,0,0,0
89,2023-08-02 00:37:25,3405,RUN_TIMEOUT,None,None,4,4,0,0,0
90,2023-08-02 00:37:25,3405,SUCCESS,144460043095,99.89,2,2,0,0,0
91,2023-08-02 00:37:25,3405,RUN_TIMEOUT,None,None,3,3,0,0,0
92,2023-08-02 00:37:25,3405,SUCCESS,144496161211,99.91,1,1,0,0,0
