variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-02 21:59:05,0,INITIAL SUCCESS,51471298389,100,0,0,0,0,0
1,2023-08-02 21:59:09,43,RUN_CODE_ERROR,None,None,1,0,0,0,1
2,2023-08-02 21:59:50,84,RUN_TIMEOUT,None,None,1,0,0,1,0
3,2023-08-02 22:00:23,117,SUCCESS,50853560008,98.8,1,0,0,1,0
4,2023-08-02 22:00:23,117,COMPILE_CODE_ERROR,None,None,2,0,0,2,0
5,2023-08-02 22:00:23,117,SUCCESS,51471298389,100.0,0,0,0,0,0
6,2023-08-02 22:00:26,120,RUN_CODE_ERROR,None,None,2,0,0,1,1
7,2023-08-02 22:00:27,121,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
8,2023-08-02 22:00:27,121,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
9,2023-08-02 22:00:28,122,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
10,2023-08-02 22:00:28,122,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
11,2023-08-02 22:01:01,155,SUCCESS,50843113586,98.78,2,0,0,2,0
12,2023-08-02 22:01:01,155,SUCCESS,50853560008,98.8,1,0,0,1,0
13,2023-08-02 22:01:01,155,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
14,2023-08-02 22:01:02,156,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
15,2023-08-02 22:01:02,156,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
16,2023-08-02 22:01:02,156,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
17,2023-08-02 22:01:35,189,SUCCESS,50838352135,98.77,3,0,0,3,0
18,2023-08-02 22:02:08,222,SUCCESS,51465902799,99.99,2,0,0,2,0
19,2023-08-02 22:02:41,255,SUCCESS,50835935922,98.77,4,0,0,3,1
20,2023-08-02 22:03:14,288,SUCCESS,50843013951,98.78,3,0,0,2,1
21,2023-08-02 22:03:17,291,RUN_CODE_ERROR,None,None,5,0,0,3,2
22,2023-08-02 22:03:55,329,SUCCESS,58573323604,113.8,5,0,0,4,1
23,2023-08-02 22:04:27,361,SUCCESS,50833297434,98.76,5,0,0,4,1
24,2023-08-02 22:05:00,394,SUCCESS,50832360963,98.76,4,0,0,3,1
25,2023-08-02 22:05:33,427,SUCCESS,50834635616,98.76,5,0,0,4,1
26,2023-08-02 22:05:34,428,COMPILE_CODE_ERROR,None,None,5,0,0,3,2
27,2023-08-02 22:06:07,461,SUCCESS,50862704738,98.82,5,0,0,3,2
28,2023-08-02 22:06:40,494,SUCCESS,50831243687,98.76,3,0,0,2,1
29,2023-08-02 22:07:13,527,SUCCESS,51460786718,99.98,2,0,0,1,1
30,2023-08-02 22:07:46,560,SUCCESS,50830057319,98.75,2,0,0,2,0
31,2023-08-02 22:07:47,561,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
32,2023-08-02 22:07:47,561,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
33,2023-08-02 22:08:20,594,SUCCESS,50768136785,98.63,3,0,0,3,0
34,2023-08-02 22:08:53,627,SUCCESS,50787789172,98.67,4,0,0,4,0
35,2023-08-02 22:08:53,627,COMPILE_CODE_ERROR,None,None,4,0,0,4,0
36,2023-08-02 22:08:53,627,COMPILE_CODE_ERROR,None,None,4,0,0,3,1
37,2023-08-02 22:09:26,660,SUCCESS,50800700440,98.7,2,0,0,2,0
38,2023-08-02 22:09:27,661,SUCCESS,50830057319,98.75,2,0,0,2,0
39,2023-08-02 22:10:00,694,SUCCESS,51411963357,99.88,2,0,0,2,0
40,2023-08-02 22:10:01,695,COMPILE_CODE_ERROR,None,None,4,0,1,3,0
41,2023-08-02 22:10:33,727,SUCCESS,50790617332,98.68,4,0,1,3,0
42,2023-08-02 22:10:33,727,COMPILE_CODE_ERROR,None,None,4,0,0,4,0
43,2023-08-02 22:10:34,728,COMPILE_CODE_ERROR,None,None,4,0,1,3,0
44,2023-08-02 22:10:37,731,RUN_CODE_ERROR,None,None,4,0,0,3,1
45,2023-08-02 22:10:37,731,COMPILE_CODE_ERROR,None,None,4,0,0,4,0
46,2023-08-02 22:10:38,732,COMPILE_CODE_ERROR,None,None,4,0,1,3,0
47,2023-08-02 22:10:38,732,COMPILE_CODE_ERROR,None,None,4,0,0,3,1
48,2023-08-02 22:10:39,733,COMPILE_CODE_ERROR,None,None,4,0,0,3,1
49,2023-08-02 22:10:39,733,COMPILE_CODE_ERROR,None,None,4,0,0,3,1
50,2023-08-02 22:10:40,734,COMPILE_CODE_ERROR,None,None,4,0,1,3,0
51,2023-08-02 22:11:12,766,SUCCESS,50793350794,98.68,4,0,1,3,0
52,2023-08-02 22:11:13,767,COMPILE_CODE_ERROR,None,None,4,0,0,4,0
53,2023-08-02 22:11:13,767,COMPILE_CODE_ERROR,None,None,4,0,0,3,1
54,2023-08-02 22:11:14,768,COMPILE_CODE_ERROR,None,None,4,0,0,3,1
55,2023-08-02 22:11:17,771,RUN_CODE_ERROR,None,None,4,0,0,4,0
