variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-21 06:19:37,0,INITIAL SUCCESS,308190264870,100,0,0,0,0,0
1,2023-08-21 06:19:39,68,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
2,2023-08-21 06:19:41,70,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
3,2023-08-21 06:20:33,122,SUCCESS,308528648735,100.11,1,0,0,1,0
4,2023-08-21 06:21:26,175,SUCCESS,310582384102,100.78,1,0,1,0,0
5,2023-08-21 06:22:29,238,SUCCESS,314487468996,102.04,1,0,0,1,0
6,2023-08-21 06:23:27,296,SUCCESS,313023749776,101.57,1,0,0,1,0
7,2023-08-21 06:24:24,353,SUCCESS,309325019525,100.37,1,0,0,1,0
8,2023-08-21 06:24:26,355,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
9,2023-08-21 06:24:28,357,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
10,2023-08-21 06:24:31,360,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
11,2023-08-21 06:24:33,362,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
12,2023-08-21 06:24:35,364,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
13,2023-08-21 06:24:37,366,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
14,2023-08-21 06:25:31,420,SUCCESS,308481465095,100.09,1,0,1,0,0
15,2023-08-21 06:25:34,423,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
16,2023-08-21 06:26:26,475,SUCCESS,308124641734,99.98,1,0,0,1,0
17,2023-08-21 06:26:33,482,RUN_CODE_ERROR,None,None,2,0,0,2,0
18,2023-08-21 06:27:28,537,SUCCESS,308118869057,99.98,2,1,0,1,0
19,2023-08-21 06:27:28,537,SUCCESS,308124641734,99.98,1,0,0,1,0
20,2023-08-21 06:27:39,548,RUN_CODE_ERROR,None,None,3,1,0,2,0
21,2023-08-21 06:28:36,605,SUCCESS,301950568613,97.98,1,1,0,0,0
22,2023-08-21 06:28:37,606,COMPILE_CODE_ERROR,None,None,2,1,0,0,1
23,2023-08-21 06:29:38,667,SUCCESS,303476118391,98.47,2,1,0,1,0
24,2023-08-21 06:29:38,667,SUCCESS,308190264870,100.0,0,0,0,0,0
25,2023-08-21 06:30:37,726,SUCCESS,303663210822,98.53,2,1,0,0,1
26,2023-08-21 06:31:35,784,SUCCESS,306777955743,99.54,2,1,1,0,0
27,2023-08-21 06:31:35,784,SUCCESS,301950568613,97.98,2,2,0,0,0
28,2023-08-21 06:31:35,784,SUCCESS,301950568613,97.98,1,1,0,0,0
29,2023-08-21 06:31:35,784,SUCCESS,308190264870,100.0,0,0,0,0,0
30,2023-08-21 06:32:34,843,SUCCESS,307643186622,99.82,2,2,0,0,0
31,2023-08-21 06:32:38,847,COMPILE_CODE_ERROR,None,None,2,1,0,0,1
32,2023-08-21 06:32:41,850,COMPILE_CODE_ERROR,None,None,2,1,0,0,1
33,2023-08-21 06:32:42,851,COMPILE_CODE_ERROR,None,None,2,1,1,0,0
34,2023-08-21 06:33:41,910,SUCCESS,300168589689,97.4,2,2,0,0,0
35,2023-08-21 06:33:44,913,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
36,2023-08-21 06:34:43,972,SUCCESS,307446817717,99.76,1,1,0,0,0
37,2023-08-21 06:34:43,972,SUCCESS,301950568613,97.98,1,1,0,0,0
38,2023-08-21 06:34:48,977,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
39,2023-08-21 06:35:46,1035,SUCCESS,306354751295,99.4,3,2,1,0,0
40,2023-08-21 06:35:49,1038,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
41,2023-08-21 06:36:51,1100,SUCCESS,306411329616,99.42,3,2,0,1,0
42,2023-08-21 06:36:54,1103,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
43,2023-08-21 06:37:53,1162,SUCCESS,305287637407,99.06,3,3,0,0,0
44,2023-08-21 06:37:55,1164,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
45,2023-08-21 06:37:58,1167,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
46,2023-08-21 06:37:59,1168,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
47,2023-08-21 06:38:03,1172,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
48,2023-08-21 06:38:07,1176,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
49,2023-08-21 06:38:10,1179,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
50,2023-08-21 06:38:18,1187,RUN_CODE_ERROR,None,None,3,2,0,0,1
51,2023-08-21 06:38:21,1190,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
52,2023-08-21 06:38:24,1193,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
53,2023-08-21 06:39:32,1261,SUCCESS,350850988592,113.84,3,3,0,0,0
54,2023-08-21 06:39:33,1262,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
55,2023-08-21 06:40:31,1320,SUCCESS,303653913417,98.53,3,2,0,1,0
56,2023-08-21 06:41:29,1378,SUCCESS,308299106787,100.04,3,3,0,0,0
57,2023-08-21 06:41:32,1381,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
58,2023-08-21 06:42:32,1441,SUCCESS,307561218447,99.8,3,2,0,0,1
59,2023-08-21 06:43:36,1505,SUCCESS,307654537554,99.83,3,2,1,0,0
60,2023-08-21 06:43:36,1505,SUCCESS,308299106787,100.04,3,3,0,0,0
61,2023-08-21 06:43:39,1508,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
62,2023-08-21 06:43:42,1511,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
63,2023-08-21 06:43:45,1514,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
64,2023-08-21 06:43:49,1518,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
65,2023-08-21 06:43:52,1521,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
66,2023-08-21 06:43:55,1524,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
67,2023-08-21 06:43:57,1526,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
68,2023-08-21 06:44:54,1583,SUCCESS,304814382872,98.9,3,3,0,0,0
69,2023-08-21 06:44:58,1587,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
70,2023-08-21 06:45:02,1591,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
71,2023-08-21 06:45:14,1603,RUN_CODE_ERROR,None,None,3,2,0,1,0
72,2023-08-21 06:45:14,1603,SUCCESS,308299106787,100.04,3,3,0,0,0
73,2023-08-21 06:45:14,1603,SUCCESS,308299106787,100.04,3,3,0,0,0
74,2023-08-21 06:45:18,1607,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
75,2023-08-21 06:46:16,1665,SUCCESS,304741680129,98.88,3,2,0,1,0
76,2023-08-21 06:47:16,1725,SUCCESS,326240965791,105.86,3,2,0,1,0
77,2023-08-21 06:48:15,1784,SUCCESS,306592409920,99.48,3,2,1,0,0
78,2023-08-21 06:48:19,1788,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
79,2023-08-21 06:48:19,1788,SUCCESS,308299106787,100.04,3,3,0,0,0
80,2023-08-21 06:49:26,1855,SUCCESS,337957461822,109.66,3,2,0,0,1
81,2023-08-21 06:49:30,1859,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
82,2023-08-21 06:50:33,1922,SUCCESS,326473943763,105.93,3,3,0,0,0
83,2023-08-21 06:50:36,1925,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
84,2023-08-21 06:50:36,1925,SUCCESS,308299106787,100.04,3,3,0,0,0
85,2023-08-21 06:51:46,1995,RUN_TIMEOUT,None,None,3,3,0,0,0
86,2023-08-21 06:51:49,1998,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
87,2023-08-21 06:52:58,2067,RUN_TIMEOUT,None,None,3,2,0,1,0
88,2023-08-21 06:53:02,2071,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
89,2023-08-21 06:53:05,2074,COMPILE_CODE_ERROR,None,None,3,2,0,1,0
90,2023-08-21 06:53:06,2075,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
91,2023-08-21 06:54:15,2144,RUN_TIMEOUT,None,None,3,3,0,0,0
92,2023-08-21 06:55:12,2201,SUCCESS,303869990009,98.6,3,2,0,1,0
93,2023-08-21 06:55:14,2203,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
94,2023-08-21 06:56:14,2263,SUCCESS,319917986771,103.81,3,2,1,0,0
95,2023-08-21 06:56:14,2263,SUCCESS,308299106787,100.04,3,3,0,0,0
96,2023-08-21 06:56:17,2266,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
97,2023-08-21 06:57:17,2326,SUCCESS,304579431531,98.83,3,2,0,1,0
98,2023-08-21 06:57:20,2329,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
99,2023-08-21 06:58:23,2392,SUCCESS,305317260042,99.07,3,2,0,1,0
100,2023-08-21 06:58:32,2401,RUN_CODE_ERROR,None,None,3,2,0,0,1
101,2023-08-21 06:59:29,2458,SUCCESS,302455784461,98.14,3,2,0,1,0
102,2023-08-21 06:59:30,2459,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
103,2023-08-21 06:59:30,2459,SUCCESS,308299106787,100.04,3,3,0,0,0
104,2023-08-21 07:00:32,2521,SUCCESS,304479418192,98.8,3,3,0,0,0
105,2023-08-21 07:00:35,2524,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
