variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-20 15:16:29,0,INITIAL SUCCESS,309661659077,100,0,0,0,0,0
1,2023-08-20 15:16:29,88,SUCCESS,309661659077,100.0,1,1,0,0,0
2,2023-08-20 15:16:29,88,SUCCESS,309661659077,100.0,0,0,0,0,0
3,2023-08-20 15:16:29,88,SUCCESS,309661659077,100.0,1,1,0,0,0
4,2023-08-20 15:17:29,148,SUCCESS,311249977055,100.51,2,2,0,0,0
5,2023-08-20 15:17:29,148,SUCCESS,309661659077,100.0,0,0,0,0,0
6,2023-08-20 15:17:29,148,SUCCESS,309661659077,100.0,1,1,0,0,0
7,2023-08-20 15:17:29,148,SUCCESS,309661659077,100.0,0,0,0,0,0
8,2023-08-20 15:17:29,148,SUCCESS,309661659077,100.0,1,1,0,0,0
9,2023-08-20 15:17:29,148,SUCCESS,309661659077,100.0,0,0,0,0,0
10,2023-08-20 15:18:39,218,RUN_TIMEOUT,None,None,1,1,0,0,0
11,2023-08-20 15:18:39,218,SUCCESS,309661659077,100.0,1,1,0,0,0
12,2023-08-20 15:18:39,218,SUCCESS,309661659077,100.0,0,0,0,0,0
13,2023-08-20 15:19:43,282,SUCCESS,335571143419,108.37,1,1,0,0,0
14,2023-08-20 15:20:42,341,SUCCESS,308455767628,99.61,1,1,0,0,0
15,2023-08-20 15:21:42,401,SUCCESS,314631114442,101.6,2,2,0,0,0
16,2023-08-20 15:21:42,401,SUCCESS,309661659077,100.0,0,0,0,0,0
17,2023-08-20 15:22:42,461,SUCCESS,311545470759,100.61,2,2,0,0,0
18,2023-08-20 15:23:52,531,RUN_TIMEOUT,None,None,2,2,0,0,0
19,2023-08-20 15:24:52,591,SUCCESS,314937136535,101.7,2,2,0,0,0
20,2023-08-20 15:25:58,657,SUCCESS,316900937654,102.34,2,2,0,0,0
21,2023-08-20 15:26:57,716,SUCCESS,306513974073,98.98,2,2,0,0,0
22,2023-08-20 15:26:57,716,SUCCESS,306513974073,98.98,3,3,0,0,0
23,2023-08-20 15:28:01,780,SUCCESS,309239243575,99.86,2,2,0,0,0
24,2023-08-20 15:29:10,849,RUN_TIMEOUT,None,None,4,4,0,0,0
25,2023-08-20 15:29:10,849,SUCCESS,308455767628,99.61,2,2,0,0,0
26,2023-08-20 15:29:10,849,SUCCESS,306513974073,98.98,2,2,0,0,0
27,2023-08-20 15:29:10,849,SUCCESS,308455767628,99.61,1,1,0,0,0
28,2023-08-20 15:30:11,910,SUCCESS,313567683778,101.26,3,3,0,0,0
29,2023-08-20 15:30:11,910,SUCCESS,306513974073,98.98,3,3,0,0,0
30,2023-08-20 15:30:11,910,SUCCESS,306513974073,98.98,4,4,0,0,0
31,2023-08-20 15:31:21,980,RUN_TIMEOUT,None,None,5,5,0,0,0
32,2023-08-20 15:32:30,1049,RUN_TIMEOUT,None,None,5,5,0,0,0
33,2023-08-20 15:32:30,1049,SUCCESS,306513974073,98.98,5,5,0,0,0
34,2023-08-20 15:32:30,1049,SUCCESS,306513974073,98.98,4,4,0,0,0
35,2023-08-20 15:32:30,1049,SUCCESS,306513974073,98.98,3,3,0,0,0
36,2023-08-20 15:32:30,1049,SUCCESS,306513974073,98.98,2,2,0,0,0
37,2023-08-20 15:33:27,1106,SUCCESS,308539661565,99.64,3,3,0,0,0
38,2023-08-20 15:33:27,1106,SUCCESS,308455767628,99.61,1,1,0,0,0
39,2023-08-20 15:33:27,1106,SUCCESS,306513974073,98.98,3,3,0,0,0
40,2023-08-20 15:34:28,1167,SUCCESS,312724493755,100.99,4,4,0,0,0
41,2023-08-20 15:34:28,1167,SUCCESS,306513974073,98.98,4,4,0,0,0
42,2023-08-20 15:34:28,1167,SUCCESS,306513974073,98.98,5,5,0,0,0
43,2023-08-20 15:34:28,1167,SUCCESS,309239243575,99.86,4,4,0,0,0
44,2023-08-20 15:34:28,1167,SUCCESS,306513974073,98.98,4,4,0,0,0
45,2023-08-20 15:35:23,1222,SUCCESS,277006525879,89.45,5,5,0,0,0
46,2023-08-20 15:35:24,1223,SUCCESS,277006525879,89.45,4,4,0,0,0
47,2023-08-20 15:35:24,1223,SUCCESS,306513974073,98.98,3,3,0,0,0
48,2023-08-20 15:36:17,1276,SUCCESS,276248305231,89.21,5,5,0,0,0
49,2023-08-20 15:36:17,1276,SUCCESS,276248305231,89.21,6,6,0,0,0
50,2023-08-20 15:36:17,1276,SUCCESS,276248305231,89.21,7,7,0,0,0
51,2023-08-20 15:37:17,1336,SUCCESS,310982464149,100.43,6,6,0,0,0
52,2023-08-20 15:38:16,1395,SUCCESS,287832129816,92.95,8,8,0,0,0
53,2023-08-20 15:39:10,1449,SUCCESS,278452223413,89.92,6,6,0,0,0
54,2023-08-20 15:39:10,1449,SUCCESS,278452223413,89.92,8,8,0,0,0
55,2023-08-20 15:39:10,1449,SUCCESS,276248305231,89.21,6,6,0,0,0
56,2023-08-20 15:40:20,1519,RUN_TIMEOUT,None,None,7,7,0,0,0
57,2023-08-20 15:40:20,1519,SUCCESS,276248305231,89.21,7,7,0,0,0
58,2023-08-20 15:40:20,1519,SUCCESS,276248305231,89.21,6,6,0,0,0
59,2023-08-20 15:40:20,1519,SUCCESS,310982464149,100.43,5,5,0,0,0
60,2023-08-20 15:40:20,1519,SUCCESS,276248305231,89.21,7,7,0,0,0
61,2023-08-20 15:41:17,1576,SUCCESS,275687340817,89.03,8,8,0,0,0
62,2023-08-20 15:41:17,1576,SUCCESS,275687340817,89.03,7,7,0,0,0
