variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-21 06:28:33,0,INITIAL SUCCESS,349697075321,100,0,0,0,0,0
1,2023-08-21 06:28:37,85,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
2,2023-08-21 06:29:46,154,SUCCESS,346548465592,99.1,1,0,0,1,0
3,2023-08-21 06:29:49,157,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
4,2023-08-21 06:29:51,159,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
5,2023-08-21 06:29:52,160,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
6,2023-08-21 06:29:52,160,SUCCESS,349697075321,100.0,0,0,0,0,0
7,2023-08-21 06:29:55,163,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
8,2023-08-21 06:29:59,167,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
9,2023-08-21 06:30:02,170,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
10,2023-08-21 06:31:12,240,SUCCESS,346734423590,99.15,2,0,0,2,0
11,2023-08-21 06:31:14,242,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
12,2023-08-21 06:31:49,277,RUN_CODE_ERROR,None,None,2,0,0,2,0
13,2023-08-21 06:32:57,345,SUCCESS,352615174200,100.83,2,0,0,2,0
14,2023-08-21 06:32:58,346,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
15,2023-08-21 06:34:08,416,SUCCESS,347070664934,99.25,2,0,0,2,0
16,2023-08-21 06:35:15,483,SUCCESS,348824060949,99.75,2,0,1,1,0
17,2023-08-21 06:36:41,569,RUN_TIMEOUT,None,None,2,0,0,1,1
18,2023-08-21 06:36:44,572,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
19,2023-08-21 06:37:53,641,SUCCESS,351023341190,100.38,2,0,0,2,0
20,2023-08-21 06:39:01,709,SUCCESS,339851248625,97.18,2,0,0,2,0
21,2023-08-21 06:40:12,780,SUCCESS,349531566034,99.95,1,0,0,1,0
22,2023-08-21 06:40:12,780,SUCCESS,346548465592,99.1,1,0,0,1,0
23,2023-08-21 06:40:16,784,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
24,2023-08-21 06:40:19,787,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
25,2023-08-21 06:41:29,857,SUCCESS,348345024717,99.61,3,0,0,3,0
26,2023-08-21 06:42:37,925,SUCCESS,350696358028,100.29,3,0,0,3,0
27,2023-08-21 06:43:44,992,SUCCESS,340860726034,97.47,3,0,0,2,1
28,2023-08-21 06:43:46,994,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
29,2023-08-21 06:43:50,998,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
30,2023-08-21 06:44:04,1012,RUN_CODE_ERROR,None,None,3,0,0,3,0
31,2023-08-21 06:45:11,1079,SUCCESS,348905014485,99.77,3,0,1,2,0
32,2023-08-21 06:45:13,1081,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
33,2023-08-21 06:45:15,1083,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
34,2023-08-21 06:45:19,1087,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
35,2023-08-21 06:45:24,1092,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
36,2023-08-21 06:46:36,1164,SUCCESS,350425642337,100.21,3,0,0,3,0
37,2023-08-21 06:47:43,1231,SUCCESS,344915005302,98.63,3,0,0,3,0
38,2023-08-21 06:47:47,1235,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
39,2023-08-21 06:48:55,1303,SUCCESS,342834119479,98.04,3,0,1,2,0
40,2023-08-21 06:48:57,1305,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
41,2023-08-21 06:49:00,1308,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
42,2023-08-21 06:49:03,1311,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
43,2023-08-21 06:49:06,1314,COMPILE_CODE_ERROR,None,None,3,0,0,3,0
44,2023-08-21 06:49:10,1318,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
45,2023-08-21 06:50:19,1387,SUCCESS,346555312710,99.1,3,0,0,3,0
46,2023-08-21 06:50:23,1391,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
47,2023-08-21 06:51:30,1458,SUCCESS,350875266197,100.34,3,0,0,3,0
48,2023-08-21 06:51:33,1461,COMPILE_CODE_ERROR,None,None,3,0,0,3,0
49,2023-08-21 06:51:37,1465,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
50,2023-08-21 06:51:40,1468,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
51,2023-08-21 06:51:44,1472,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
52,2023-08-21 06:51:47,1475,COMPILE_CODE_ERROR,None,None,3,0,0,3,0
53,2023-08-21 06:51:51,1479,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
54,2023-08-21 06:53:03,1551,SUCCESS,362203659570,103.58,3,0,0,3,0
55,2023-08-21 06:53:04,1552,COMPILE_CODE_ERROR,None,None,3,0,0,3,0
56,2023-08-21 06:53:13,1561,RUN_CODE_ERROR,None,None,3,0,1,2,0
57,2023-08-21 06:54:24,1632,SUCCESS,346956340541,99.22,3,0,0,2,1
58,2023-08-21 06:54:28,1636,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
59,2023-08-21 06:55:38,1706,SUCCESS,356530327850,101.95,3,0,0,3,0
60,2023-08-21 06:56:41,1769,SUCCESS,340213627507,97.29,3,0,0,3,0
61,2023-08-21 06:56:44,1772,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
62,2023-08-21 06:56:45,1773,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
63,2023-08-21 06:57:55,1843,SUCCESS,343896450673,98.34,3,0,0,3,0
64,2023-08-21 06:58:00,1848,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
65,2023-08-21 06:58:04,1852,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
66,2023-08-21 06:58:08,1856,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
67,2023-08-21 06:59:15,1923,SUCCESS,347852197801,99.47,3,0,0,3,0
68,2023-08-21 06:59:18,1926,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
69,2023-08-21 06:59:21,1929,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
70,2023-08-21 07:00:26,1994,SUCCESS,346596100002,99.11,3,0,0,3,0
71,2023-08-21 07:00:29,1997,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
72,2023-08-21 07:00:32,2000,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
73,2023-08-21 07:00:35,2003,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
74,2023-08-21 07:01:52,2080,SUCCESS,347730041680,99.44,3,0,0,3,0
