algorithm,search_space,k_th,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement,gen
ga,ac,1,7,7,0,0,0,80-6
ga,ac,2,10,10,0,0,0,103-5
ga,ac,3,5,5,0,0,0,85-2
ga,ac,4,4,4,0,0,0,51-8
ga,ac,5,8,8,0,0,0,158-10
ga,ac,6,8,8,0,0,0,121-6
ga,ac,7,7,7,0,0,0,155-2
ga,ac,8,12,12,0,0,0,118-9
ga,ac,9,12,12,0,0,0,189-8
ga,ac,10,12,12,0,0,0,65-7
ga,ac-gi,1,6,6,0,0,0,120-1
ga,ac-gi,2,16,13,0,2,1,148-5
ga,ac-gi,3,12,10,0,0,2,96-7
ga,ac-gi,4,8,6,0,1,1,97-6
ga,ac-gi,5,8,8,0,0,0,228-10
ga,ac-gi,6,10,9,0,1,0,165-10
ga,ac-gi,7,15,10,1,4,0,157-6
ga,ac-gi,8,14,12,2,0,0,199-4
ga,ac-gi,9,8,8,0,0,0,264-2
ga,ac-gi,10,14,13,0,1,0,82-3
ga,gi,1,9,0,0,5,4,332-9
ga,gi,2,11,0,1,7,3,330-10
ga,gi,3,5,0,0,4,1,401-10
ga,gi,4,7,0,1,4,2,298-1
ga,gi,5,8,0,1,5,2,596-7
ga,gi,6,1,0,0,1,0,417-6
ga,gi,7,8,0,0,7,1,436-3
ga,gi,8,6,0,3,3,0,505-1
ga,gi,9,8,0,0,6,2,1009-6
ga,gi,10,7,0,1,2,4,357-10
ls,ac,1,12,12,0,0,0,453
ls,ac,2,7,7,0,0,0,583
ls,ac,3,5,5,0,0,0,499
ls,ac,4,9,9,0,0,0,274
ls,ac,5,15,15,0,0,0,845
ls,ac,6,10,10,0,0,0,619
ls,ac,7,3,3,0,0,0,822
ls,ac,8,13,13,0,0,0,944
ls,ac,9,16,16,0,0,0,1105
ls,ac,10,8,8,0,0,0,344
ls,ac-gi,1,9,3,2,3,1,420
ls,ac-gi,2,7,4,0,3,0,477
ls,ac-gi,3,10,3,1,6,0,467
ls,ac-gi,4,8,3,2,0,3,519
ls,ac-gi,5,13,7,1,4,1,861
ls,ac-gi,6,7,0,1,3,3,912
ls,ac-gi,7,11,5,1,3,2,621
ls,ac-gi,8,14,2,3,7,2,881
ls,ac-gi,9,14,3,3,5,3,785
ls,ac-gi,10,12,6,1,3,2,363
ls,gi,1,14,0,7,5,2,629
ls,gi,2,12,0,2,9,1,539
ls,gi,3,14,0,1,9,4,442
ls,gi,4,10,0,1,7,2,328
ls,gi,5,11,0,0,9,2,1002
ls,gi,6,16,0,1,11,4,779
ls,gi,7,9,0,1,8,0,771
ls,gi,8,14,0,1,10,3,793
ls,gi,9,9,0,3,4,2,1155
ls,gi,10,4,0,0,1,3,449
ga100,ac,1,4,4,0,0,0,2-58
ga100,ac,2,4,4,0,0,0,2-85
ga100,ac,3,2,2,0,0,0,2-55
ga100,ac,4,2,2,0,0,0,1-48
ga100,ac,5,8,8,0,0,0,5-73
ga100,ac,6,1,1,0,0,0,3-58
ga100,ac,7,2,2,0,0,0,4-58
ga100,ac,8,2,2,0,0,0,4-11
ga100,ac,9,4,4,0,0,0,6-41
ga100,ac,10,1,1,0,0,0,2-5
ga100,ac-gi,1,3,3,0,0,0,3-3
ga100,ac-gi,2,3,3,0,0,0,4-80
ga100,ac-gi,3,1,1,0,0,0,3-13
ga100,ac-gi,4,5,5,0,0,0,2-32
ga100,ac-gi,5,4,4,0,0,0,5-77
ga100,ac-gi,6,3,3,0,0,0,5-26
ga100,ac-gi,7,3,3,0,0,0,4-88
ga100,ac-gi,8,5,4,0,0,1,5-43
ga100,ac-gi,9,5,4,0,1,0,6-47
ga100,ac-gi,10,2,2,0,0,0,2-74
ga100,gi,1,5,0,2,1,2,35-12
ga100,gi,2,9,0,0,8,1,43-84
ga100,gi,3,2,0,1,1,0,39-83
ga100,gi,4,3,0,1,2,0,22-44
ga100,gi,5,5,0,1,2,2,62-70
ga100,gi,6,4,0,1,3,0,45-92
ga100,gi,7,5,0,0,4,1,51-22
ga100,gi,8,8,0,2,6,0,41-23
ga100,gi,9,9,0,0,8,1,72-95
ga100,gi,10,3,0,0,3,0,28-25
