variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-18 22:36:16,0,INITIAL SUCCESS,106874332822,100,0,0,0,0,0
0-1,2023-08-18 22:36:16,188,SUCCESS,106874332822,100.0,0,0,0,0,0
0-2,2023-08-18 22:36:16,188,SUCCESS,106874332822,100.0,0,0,0,0,0
0-3,2023-08-18 22:36:16,188,SUCCESS,106874332822,100.0,0,0,0,0,0
0-4,2023-08-18 22:36:16,188,SUCCESS,106874332822,100.0,0,0,0,0,0
0-5,2023-08-18 22:36:16,188,SUCCESS,106874332822,100.0,0,0,0,0,0
0-6,2023-08-18 22:36:16,188,SUCCESS,106874332822,100.0,0,0,0,0,0
0-7,2023-08-18 22:36:16,188,SUCCESS,106874332822,100.0,0,0,0,0,0
0-8,2023-08-18 22:36:16,188,SUCCESS,106874332822,100.0,0,0,0,0,0
0-9,2023-08-18 22:36:16,188,SUCCESS,106874332822,100.0,0,0,0,0,0
0-10,2023-08-18 22:36:16,188,SUCCESS,106874332822,100.0,0,0,0,0,0
0-11,2023-08-18 22:36:19,191,COMPILE_CODE_ERROR,None,None,2,1,0,0,1
0-12,2023-08-18 22:37:32,264,RUN_TIMEOUT,None,None,2,2,0,0,0
0-13,2023-08-18 22:37:40,272,RUN_CODE_ERROR,None,None,4,3,0,1,0
0-14,2023-08-18 22:38:45,337,SUCCESS,105579427695,98.79,2,2,0,0,0
0-15,2023-08-18 22:38:48,340,COMPILE_CODE_ERROR,None,None,4,3,1,0,0
0-16,2023-08-18 22:40:02,414,RUN_TIMEOUT,None,None,4,4,0,0,0
0-17,2023-08-18 22:41:15,487,RUN_TIMEOUT,None,None,1,1,0,0,0
0-18,2023-08-18 22:42:19,551,SUCCESS,106706072075,99.84,4,3,0,0,1
0-19,2023-08-18 22:43:33,625,RUN_TIMEOUT,None,None,2,1,0,1,0
0-20,2023-08-18 22:43:49,641,RUN_CODE_ERROR,None,None,4,3,0,1,0
0-21,2023-08-18 22:43:49,641,SUCCESS,106874332822,100.0,0,0,0,0,0
0-22,2023-08-18 22:43:50,642,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
0-23,2023-08-18 22:43:50,642,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-24,2023-08-18 22:43:54,646,RUN_CODE_ERROR,None,None,1,0,0,0,1
0-25,2023-08-18 22:43:58,650,RUN_CODE_ERROR,None,None,2,1,1,0,0
0-26,2023-08-18 22:45:10,722,RUN_TIMEOUT,None,None,1,0,1,0,0
0-27,2023-08-18 22:46:23,795,RUN_TIMEOUT,None,None,3,2,0,0,1
0-28,2023-08-18 22:47:15,847,SUCCESS,82554563488,77.24,3,3,0,0,0
0-29,2023-08-18 22:48:28,920,RUN_TIMEOUT,None,None,2,2,0,0,0
0-30,2023-08-18 22:48:34,926,RUN_CODE_ERROR,None,None,3,2,0,1,0
0-31,2023-08-18 22:49:46,998,RUN_TIMEOUT,None,None,4,4,0,0,0
0-32,2023-08-18 22:50:59,1071,RUN_TIMEOUT,None,None,2,2,0,0,0
0-33,2023-08-18 22:52:12,1144,RUN_TIMEOUT,None,None,4,4,0,0,0
0-34,2023-08-18 22:53:17,1209,SUCCESS,104153711836,97.45,4,4,0,0,0
0-35,2023-08-18 22:54:02,1254,SUCCESS,71851462311,67.23,4,3,1,0,0
0-36,2023-08-18 22:55:14,1326,RUN_TIMEOUT,None,None,8,7,1,0,0
0-37,2023-08-18 22:56:27,1399,RUN_TIMEOUT,None,None,1,1,0,0,0
0-38,2023-08-18 22:56:27,1399,COMPILE_CODE_ERROR,None,None,4,3,0,1,0
0-39,2023-08-18 22:56:31,1403,RUN_CODE_ERROR,None,None,4,3,0,0,1
0-40,2023-08-18 22:57:43,1475,RUN_TIMEOUT,None,None,6,5,0,0,1
0-41,2023-08-18 22:57:43,1475,SUCCESS,106874332822,100.0,1,1,0,0,0
0-42,2023-08-18 22:58:44,1536,SUCCESS,106871013064,100.0,1,1,0,0,0
0-43,2023-08-18 22:59:56,1608,RUN_TIMEOUT,None,None,4,4,0,0,0
0-44,2023-08-18 23:01:07,1679,RUN_TIMEOUT,None,None,1,1,0,0,0
0-45,2023-08-18 23:02:20,1752,RUN_TIMEOUT,None,None,2,2,0,0,0
0-46,2023-08-18 23:03:31,1823,RUN_TIMEOUT,None,None,3,3,0,0,0
0-47,2023-08-18 23:03:32,1824,COMPILE_CODE_ERROR,None,None,6,5,0,1,0
0-48,2023-08-18 23:03:32,1824,SUCCESS,106874332822,100.0,1,1,0,0,0
0-49,2023-08-18 23:03:33,1825,COMPILE_CODE_ERROR,None,None,4,3,0,1,0
0-50,2023-08-18 23:04:44,1896,RUN_TIMEOUT,None,None,5,4,1,0,0
0-51,2023-08-18 23:05:45,1957,SUCCESS,106856339671,99.98,2,1,0,1,0
0-52,2023-08-18 23:05:45,1957,RUN_TIMEOUT,None,None,1,1,0,0,0
0-53,2023-08-18 23:06:57,2029,RUN_TIMEOUT,None,None,4,4,0,0,0
0-54,2023-08-18 23:08:09,2101,RUN_TIMEOUT,None,None,5,5,0,0,0
0-55,2023-08-18 23:08:09,2101,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-56,2023-08-18 23:09:21,2173,RUN_TIMEOUT,None,None,3,3,0,0,0
0-57,2023-08-18 23:10:33,2245,RUN_TIMEOUT,None,None,6,5,0,1,0
0-58,2023-08-18 23:11:45,2317,RUN_TIMEOUT,None,None,2,1,0,1,0
0-59,2023-08-18 23:12:48,2380,SUCCESS,104634580984,97.9,2,1,0,1,0
0-60,2023-08-18 23:13:47,2439,SUCCESS,99241372316,92.86,5,4,0,0,1
0-61,2023-08-18 23:14:39,2491,SUCCESS,85632801971,80.12,5,5,0,0,0
0-62,2023-08-18 23:14:40,2492,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
0-63,2023-08-18 23:14:40,2492,SUCCESS,106874332822,100.0,0,0,0,0,0
0-64,2023-08-18 23:14:40,2492,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
0-65,2023-08-18 23:15:51,2563,RUN_TIMEOUT,None,None,4,4,0,0,0
0-66,2023-08-18 23:17:03,2635,RUN_TIMEOUT,None,None,5,4,0,1,0
0-67,2023-08-18 23:17:03,2635,SUCCESS,106874332822,100.0,0,0,0,0,0
0-68,2023-08-18 23:18:07,2699,SUCCESS,108449059773,101.47,1,1,0,0,0
0-69,2023-08-18 23:18:08,2700,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
0-70,2023-08-18 23:18:09,2701,COMPILE_CODE_ERROR,None,None,4,3,1,0,0
0-71,2023-08-18 23:19:12,2764,SUCCESS,106838713297,99.97,1,0,1,0,0
0-72,2023-08-18 23:19:13,2765,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
0-73,2023-08-18 23:20:22,2834,SUCCESS,116058044526,108.59,3,3,0,0,0
0-74,2023-08-18 23:21:33,2905,RUN_TIMEOUT,None,None,3,2,0,0,1
0-75,2023-08-18 23:22:45,2977,RUN_TIMEOUT,None,None,3,3,0,0,0
