variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-19 01:46:09,0,INITIAL SUCCESS,144624565711,100,0,0,0,0,0
0-1,2023-08-19 01:46:09,99,SUCCESS,144624565711,100.0,0,0,0,0,0
0-2,2023-08-19 01:46:09,99,SUCCESS,144624565711,100.0,0,0,0,0,0
0-3,2023-08-19 01:46:09,99,SUCCESS,144624565711,100.0,0,0,0,0,0
0-4,2023-08-19 01:46:09,99,SUCCESS,144624565711,100.0,0,0,0,0,0
0-5,2023-08-19 01:46:09,99,SUCCESS,144624565711,100.0,0,0,0,0,0
0-6,2023-08-19 01:46:09,99,SUCCESS,144624565711,100.0,0,0,0,0,0
0-7,2023-08-19 01:46:09,99,SUCCESS,144624565711,100.0,0,0,0,0,0
0-8,2023-08-19 01:46:09,99,SUCCESS,144624565711,100.0,0,0,0,0,0
0-9,2023-08-19 01:46:09,99,SUCCESS,144624565711,100.0,0,0,0,0,0
0-10,2023-08-19 01:46:09,99,SUCCESS,144624565711,100.0,0,0,0,0,0
0-11,2023-08-19 01:47:45,195,RUN_TIMEOUT,None,None,1,1,0,0,0
0-12,2023-08-19 01:47:45,195,SUCCESS,144624565711,100.0,1,1,0,0,0
0-13,2023-08-19 01:49:20,290,RUN_TIMEOUT,None,None,3,3,0,0,0
0-14,2023-08-19 01:50:56,386,RUN_TIMEOUT,None,None,6,6,0,0,0
0-15,2023-08-19 01:52:31,481,RUN_TIMEOUT,None,None,3,3,0,0,0
0-16,2023-08-19 01:54:07,577,RUN_TIMEOUT,None,None,3,3,0,0,0
0-17,2023-08-19 01:55:42,672,RUN_TIMEOUT,None,None,3,3,0,0,0
0-18,2023-08-19 01:57:07,757,SUCCESS,144626221235,100.0,1,1,0,0,0
0-19,2023-08-19 01:58:23,833,SUCCESS,129856354283,89.79,2,2,0,0,0
0-20,2023-08-19 01:59:58,928,RUN_TIMEOUT,None,None,4,4,0,0,0
0-21,2023-08-19 02:01:33,1023,RUN_TIMEOUT,None,None,5,5,0,0,0
0-22,2023-08-19 02:03:08,1118,RUN_TIMEOUT,None,None,4,4,0,0,0
0-23,2023-08-19 02:04:43,1213,RUN_TIMEOUT,None,None,2,2,0,0,0
0-24,2023-08-19 02:06:18,1308,RUN_TIMEOUT,None,None,2,2,0,0,0
0-25,2023-08-19 02:07:54,1404,RUN_TIMEOUT,None,None,4,4,0,0,0
0-26,2023-08-19 02:09:29,1499,RUN_TIMEOUT,None,None,3,3,0,0,0
0-27,2023-08-19 02:11:04,1594,RUN_TIMEOUT,None,None,2,2,0,0,0
0-28,2023-08-19 02:12:39,1689,RUN_TIMEOUT,None,None,3,3,0,0,0
0-29,2023-08-19 02:14:15,1785,RUN_TIMEOUT,None,None,4,4,0,0,0
0-30,2023-08-19 02:15:50,1880,RUN_TIMEOUT,None,None,4,4,0,0,0
0-31,2023-08-19 02:17:25,1975,RUN_TIMEOUT,None,None,5,5,0,0,0
0-32,2023-08-19 02:17:25,1975,RUN_TIMEOUT,None,None,1,1,0,0,0
0-33,2023-08-19 02:19:00,2070,RUN_TIMEOUT,None,None,1,1,0,0,0
0-34,2023-08-19 02:20:35,2165,RUN_TIMEOUT,None,None,3,3,0,0,0
0-35,2023-08-19 02:20:35,2165,SUCCESS,144624565711,100.0,0,0,0,0,0
0-36,2023-08-19 02:22:11,2261,RUN_TIMEOUT,None,None,3,3,0,0,0
0-37,2023-08-19 02:23:46,2356,RUN_TIMEOUT,None,None,4,4,0,0,0
0-38,2023-08-19 02:25:21,2451,RUN_TIMEOUT,None,None,2,2,0,0,0
0-39,2023-08-19 02:26:56,2546,RUN_TIMEOUT,None,None,3,3,0,0,0
0-40,2023-08-19 02:28:31,2641,RUN_TIMEOUT,None,None,3,3,0,0,0
0-41,2023-08-19 02:30:06,2736,RUN_TIMEOUT,None,None,3,3,0,0,0
0-42,2023-08-19 02:31:42,2832,RUN_TIMEOUT,None,None,2,2,0,0,0
0-43,2023-08-19 02:32:24,2874,SUCCESS,70847758197,48.99,2,2,0,0,0
0-44,2023-08-19 02:34:00,2970,RUN_TIMEOUT,None,None,3,3,0,0,0
0-45,2023-08-19 02:35:35,3065,RUN_TIMEOUT,None,None,3,3,0,0,0
0-46,2023-08-19 02:37:05,3155,SUCCESS,154613011674,106.91,4,4,0,0,0
0-47,2023-08-19 02:37:05,3155,SUCCESS,144624565711,100.0,0,0,0,0,0
0-48,2023-08-19 02:38:40,3250,RUN_TIMEOUT,None,None,6,6,0,0,0
0-49,2023-08-19 02:40:15,3345,RUN_TIMEOUT,None,None,2,2,0,0,0
0-50,2023-08-19 02:41:50,3440,RUN_TIMEOUT,None,None,5,5,0,0,0
0-51,2023-08-19 02:43:26,3536,RUN_TIMEOUT,None,None,2,2,0,0,0
0-52,2023-08-19 02:44:58,3628,SUCCESS,162368243422,112.27,3,3,0,0,0
0-53,2023-08-19 02:46:34,3724,RUN_TIMEOUT,None,None,1,1,0,0,0
0-54,2023-08-19 02:48:09,3819,RUN_TIMEOUT,None,None,3,3,0,0,0
0-55,2023-08-19 02:49:44,3914,RUN_TIMEOUT,None,None,3,3,0,0,0
0-56,2023-08-19 02:51:19,4009,RUN_TIMEOUT,None,None,2,2,0,0,0
0-57,2023-08-19 02:52:54,4104,RUN_TIMEOUT,None,None,3,3,0,0,0
0-58,2023-08-19 02:54:29,4199,RUN_TIMEOUT,None,None,1,1,0,0,0
0-59,2023-08-19 02:56:04,4294,RUN_TIMEOUT,None,None,2,2,0,0,0
0-60,2023-08-19 02:57:40,4390,RUN_TIMEOUT,None,None,1,1,0,0,0
0-61,2023-08-19 02:59:15,4485,RUN_TIMEOUT,None,None,1,1,0,0,0
0-62,2023-08-19 03:00:27,4557,SUCCESS,122530031012,84.72,3,3,0,0,0
0-63,2023-08-19 03:02:02,4652,RUN_TIMEOUT,None,None,3,3,0,0,0
0-64,2023-08-19 03:03:38,4748,RUN_TIMEOUT,None,None,3,3,0,0,0
0-65,2023-08-19 03:05:14,4844,RUN_TIMEOUT,None,None,3,3,0,0,0
0-66,2023-08-19 03:06:40,4930,SUCCESS,147897464878,102.26,3,3,0,0,0
0-67,2023-08-19 03:08:16,5026,RUN_TIMEOUT,None,None,4,4,0,0,0
0-68,2023-08-19 03:09:51,5121,RUN_TIMEOUT,None,None,4,4,0,0,0
