variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-19 20:53:32,0,INITIAL SUCCESS,121204413767,100,0,0,0,0,0
0-1,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-2,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-3,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-4,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-5,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-6,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-7,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-8,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-9,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-10,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-11,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-12,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-13,2023-08-19 20:53:32,77,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-14,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-15,2023-08-19 20:53:32,77,SUCCESS,121204413767,100.0,0,0,0,0,0
0-16,2023-08-19 20:54:38,143,SUCCESS,118379513910,97.67,1,0,1,0,0
0-17,2023-08-19 20:55:57,222,RUN_TIMEOUT,None,None,1,0,0,1,0
0-18,2023-08-19 20:55:58,223,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-19,2023-08-19 20:55:58,223,SUCCESS,121204413767,100.0,0,0,0,0,0
0-20,2023-08-19 20:55:58,223,SUCCESS,121204413767,100.0,0,0,0,0,0
