# variant number, timestamp, time elapse, status, fitness, percentage, edit
-1,2023-08-04 08:27:52,74,INITIAL SUCCESS,110252456462,100,0
0-1,2023-08-04 08:27:52,74,SUCCESS,110252456462,100.0,0
0-2,2023-08-04 08:27:52,74,SUCCESS,110252456462,100.0,0
0-3,2023-08-04 08:27:52,74,COMPILE_CODE_ERROR,None,None,None
0-4,2023-08-04 08:27:53,75,COMPILE_CODE_ERROR,None,None,None
0-5,2023-08-04 08:29:01,143,SUCCESS,110260337841,100.01,3
0-6,2023-08-04 08:29:45,187,SUCCESS,67149952175,60.91,2
0-7,2023-08-04 08:30:38,240,SUCCESS,82170589493,74.53,2
0-8,2023-08-04 08:31:34,296,SUCCESS,89225704735,80.93,4
0-9,2023-08-04 08:32:36,358,SUCCESS,96652833227,87.67,1
0-10,2023-08-04 08:33:51,433,RUN_TIMEOUT,None,None,None
1-1,2023-08-04 08:34:52,494,SUCCESS,95112654663,86.27,4
1-2,2023-08-04 08:36:06,568,RUN_TIMEOUT,None,None,None
1-3,2023-08-04 08:37:14,636,SUCCESS,110241899558,99.99,2
1-4,2023-08-04 08:38:18,700,SUCCESS,102557516455,93.02,3
1-5,2023-08-04 08:38:18,700,SUCCESS,96652833227,87.67,1
1-6,2023-08-04 08:38:18,700,SUCCESS,67149952175,60.91,2
1-7,2023-08-04 08:38:19,701,SUCCESS,82170589493,74.53,2
1-8,2023-08-04 08:38:19,701,SUCCESS,89225704735,80.93,4
1-9,2023-08-04 08:38:19,701,SUCCESS,96652833227,87.67,1
1-10,2023-08-04 08:39:33,775,RUN_TIMEOUT,None,None,None
2-1,2023-08-04 08:40:31,833,SUCCESS,89688170565,81.35,3
2-2,2023-08-04 08:41:25,887,SUCCESS,83599287388,75.83,3
2-3,2023-08-04 08:41:25,887,SUCCESS,82170589493,74.53,2
2-4,2023-08-04 08:41:25,887,SUCCESS,89225704735,80.93,4
2-5,2023-08-04 08:41:25,887,SUCCESS,82170589493,74.53,2
2-6,2023-08-04 08:41:25,887,SUCCESS,82170589493,74.53,2
2-7,2023-08-04 08:41:25,887,SUCCESS,95112654663,86.27,4
2-8,2023-08-04 08:41:25,887,SUCCESS,82170589493,74.53,2
2-9,2023-08-04 08:42:23,945,SUCCESS,91460353138,82.96,5
2-10,2023-08-04 08:43:25,1007,SUCCESS,96648299724,87.66,1
3-1,2023-08-04 08:43:25,1007,SUCCESS,82170589493,74.53,2
3-2,2023-08-04 08:44:39,1081,RUN_TIMEOUT,None,None,None
3-3,2023-08-04 08:44:39,1081,SUCCESS,82170589493,74.53,2
3-4,2023-08-04 08:44:39,1081,SUCCESS,82170589493,74.53,2
3-5,2023-08-04 08:45:53,1155,RUN_TIMEOUT,None,None,None
3-6,2023-08-04 08:45:53,1155,SUCCESS,82170589493,74.53,2
3-7,2023-08-04 08:45:53,1155,SUCCESS,82170589493,74.53,2
3-8,2023-08-04 08:45:53,1155,SUCCESS,82170589493,74.53,2
3-9,2023-08-04 08:45:53,1155,SUCCESS,83599287388,75.83,3
3-10,2023-08-04 08:46:53,1215,SUCCESS,91693986728,83.17,3
4-1,2023-08-04 08:47:46,1268,SUCCESS,82526736448,74.85,4
4-2,2023-08-04 08:47:46,1268,SUCCESS,82170589493,74.53,2
4-3,2023-08-04 08:47:46,1268,SUCCESS,82170589493,74.53,2
4-4,2023-08-04 08:47:46,1268,SUCCESS,82170589493,74.53,2
4-5,2023-08-04 08:47:46,1268,SUCCESS,82170589493,74.53,2
4-6,2023-08-04 08:47:46,1268,SUCCESS,82170589493,74.53,2
4-7,2023-08-04 08:47:46,1268,SUCCESS,82170589493,74.53,2
4-8,2023-08-04 08:47:46,1268,SUCCESS,82170589493,74.53,2
4-9,2023-08-04 08:47:46,1268,SUCCESS,82170589493,74.53,2
4-10,2023-08-04 08:47:46,1268,SUCCESS,82170589493,74.53,2
5-1,2023-08-04 08:47:46,1268,SUCCESS,82170589493,74.53,2
5-2,2023-08-04 08:49:01,1343,RUN_TIMEOUT,None,None,None
5-3,2023-08-04 08:49:01,1343,SUCCESS,82170589493,74.53,2
5-4,2023-08-04 08:49:01,1343,SUCCESS,82170589493,74.53,2
5-5,2023-08-04 08:49:01,1343,SUCCESS,82170589493,74.53,2
5-6,2023-08-04 08:49:01,1343,SUCCESS,82170589493,74.53,2
5-7,2023-08-04 08:49:01,1343,COMPILE_CODE_ERROR,None,None,None
5-8,2023-08-04 08:49:05,1347,RUN_CODE_ERROR,None,None,None
5-9,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
5-10,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
6-1,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
6-2,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
6-3,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,3
6-4,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
6-5,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
6-6,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
6-7,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
6-8,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
6-9,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
6-10,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
7-1,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,3
7-2,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
7-3,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
7-4,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
7-5,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
7-6,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
7-7,2023-08-04 08:49:05,1347,COMPILE_CODE_ERROR,None,None,None
7-8,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
7-9,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
7-10,2023-08-04 08:49:05,1347,SUCCESS,82170589493,74.53,2
8-1,2023-08-04 08:49:06,1348,SUCCESS,82170589493,74.53,2
8-2,2023-08-04 08:49:06,1348,SUCCESS,82170589493,74.53,2
8-3,2023-08-04 08:49:06,1348,SUCCESS,82170589493,74.53,2
8-4,2023-08-04 08:49:06,1348,COMPILE_CODE_ERROR,None,None,None
8-5,2023-08-04 08:50:20,1422,RUN_TIMEOUT,None,None,None
8-6,2023-08-04 08:50:20,1422,SUCCESS,82170589493,74.53,2
8-7,2023-08-04 08:50:20,1422,SUCCESS,82170589493,74.53,2
8-8,2023-08-04 08:50:20,1422,SUCCESS,82170589493,74.53,2
8-9,2023-08-04 08:50:20,1422,SUCCESS,82170589493,74.53,2
8-10,2023-08-04 08:50:20,1422,SUCCESS,82170589493,74.53,2
9-1,2023-08-04 08:51:25,1487,SUCCESS,106203696505,96.33,4
9-2,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
9-3,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
9-4,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
9-5,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
9-6,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
9-7,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
9-8,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
9-9,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
9-10,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
10-1,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
10-2,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
10-3,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
10-4,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
10-5,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
10-6,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
10-7,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
10-8,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
10-9,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,3
10-10,2023-08-04 08:51:25,1487,SUCCESS,82170589493,74.53,2
11-1,2023-08-04 08:52:05,1527,SUCCESS,61070702322,55.39,4
11-2,2023-08-04 08:52:05,1527,SUCCESS,82170589493,74.53,2
