# variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-04 21:08:55,0,INITIAL SUCCESS,51469417912,100,0,0,0,0,0
0-1,2023-08-04 21:08:55,40,SUCCESS,51469417912,100.0,0,0,0,0,0
0-2,2023-08-04 21:08:55,40,SUCCESS,51469417912,100.0,0,0,0,0,0
0-3,2023-08-04 21:09:28,73,SUCCESS,51577825803,100.21,2,2,0,0,0
0-4,2023-08-04 21:10:01,106,SUCCESS,50646779648,98.4,4,3,0,1,0
0-5,2023-08-04 21:10:01,106,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
0-6,2023-08-04 21:10:02,107,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
0-7,2023-08-04 21:10:26,131,SUCCESS,36642996273,71.19,2,2,0,0,0
0-8,2023-08-04 21:11:00,165,SUCCESS,52616126001,102.23,3,2,1,0,0
0-9,2023-08-04 21:11:41,206,RUN_TIMEOUT,None,None,3,3,0,0,0
0-10,2023-08-04 21:11:42,207,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
1-1,2023-08-04 21:11:42,207,SUCCESS,36642996273,71.19,2,2,0,0,0
1-2,2023-08-04 21:11:42,207,SUCCESS,50646779648,98.4,4,3,0,1,0
1-3,2023-08-04 21:11:42,207,SUCCESS,51577825803,100.21,2,2,0,0,0
1-4,2023-08-04 21:12:21,246,SUCCESS,61797584824,120.07,3,3,0,0,0
1-5,2023-08-04 21:12:21,246,SUCCESS,51577825803,100.21,2,2,0,0,0
1-6,2023-08-04 21:12:21,246,SUCCESS,51577825803,100.21,2,2,0,0,0
1-7,2023-08-04 21:12:21,246,SUCCESS,36642996273,71.19,2,2,0,0,0
1-8,2023-08-04 21:12:21,246,SUCCESS,52616126001,102.23,3,2,1,0,0
1-9,2023-08-04 21:12:53,278,SUCCESS,49453207321,96.08,7,7,0,0,0
1-10,2023-08-04 21:12:53,278,SUCCESS,50646779648,98.4,4,3,0,1,0
2-1,2023-08-04 21:12:53,278,SUCCESS,36642996273,71.19,2,2,0,0,0
2-2,2023-08-04 21:12:53,278,SUCCESS,36642996273,71.19,2,2,0,0,0
2-3,2023-08-04 21:13:18,303,SUCCESS,36647034198,71.2,6,6,0,0,0
2-4,2023-08-04 21:13:59,344,RUN_TIMEOUT,None,None,11,11,0,0,0
2-5,2023-08-04 21:13:59,344,SUCCESS,36642996273,71.19,2,2,0,0,0
2-6,2023-08-04 21:13:59,344,COMPILE_CODE_ERROR,None,None,6,5,1,0,0
2-7,2023-08-04 21:13:59,344,SUCCESS,49453207321,96.08,7,7,0,0,0
2-8,2023-08-04 21:13:59,344,SUCCESS,50646779648,98.4,4,3,0,1,0
2-9,2023-08-04 21:14:41,386,RUN_TIMEOUT,None,None,2,2,0,0,0
2-10,2023-08-04 21:15:22,427,RUN_TIMEOUT,None,None,5,4,0,1,0
3-1,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
3-2,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
3-3,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
3-4,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
3-5,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
3-6,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
3-7,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
3-8,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
3-9,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
3-10,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
4-1,2023-08-04 21:15:22,427,SUCCESS,36642996273,71.19,2,2,0,0,0
4-2,2023-08-04 21:16:02,467,SUCCESS,62371711227,121.18,4,4,0,0,0
4-3,2023-08-04 21:16:02,467,SUCCESS,36642996273,71.19,2,2,0,0,0
4-4,2023-08-04 21:16:02,467,SUCCESS,36642996273,71.19,2,2,0,0,0
4-5,2023-08-04 21:16:02,467,SUCCESS,36642996273,71.19,2,2,0,0,0
4-6,2023-08-04 21:16:02,467,SUCCESS,36642996273,71.19,2,2,0,0,0
4-7,2023-08-04 21:16:02,467,SUCCESS,36642996273,71.19,2,2,0,0,0
4-8,2023-08-04 21:16:02,467,SUCCESS,36642996273,71.19,2,2,0,0,0
4-9,2023-08-04 21:16:02,467,SUCCESS,36642996273,71.19,2,2,0,0,0
4-10,2023-08-04 21:16:02,467,SUCCESS,36642996273,71.19,2,2,0,0,0
5-1,2023-08-04 21:16:44,509,RUN_TIMEOUT,None,None,5,4,0,1,0
5-2,2023-08-04 21:16:44,509,SUCCESS,36642996273,71.19,2,2,0,0,0
5-3,2023-08-04 21:16:44,509,SUCCESS,36642996273,71.19,2,2,0,0,0
5-4,2023-08-04 21:16:44,509,SUCCESS,36642996273,71.19,2,2,0,0,0
5-5,2023-08-04 21:16:44,509,COMPILE_CODE_ERROR,None,None,6,5,1,0,0
5-6,2023-08-04 21:16:44,509,SUCCESS,36642996273,71.19,2,2,0,0,0
5-7,2023-08-04 21:16:44,509,SUCCESS,36642996273,71.19,2,2,0,0,0
5-8,2023-08-04 21:16:44,509,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
5-9,2023-08-04 21:16:44,509,SUCCESS,36642996273,71.19,2,2,0,0,0
5-10,2023-08-04 21:16:44,509,SUCCESS,36642996273,71.19,2,2,0,0,0
6-1,2023-08-04 21:17:26,551,RUN_TIMEOUT,None,None,4,3,0,0,1
6-2,2023-08-04 21:17:26,551,SUCCESS,36642996273,71.19,2,2,0,0,0
6-3,2023-08-04 21:17:26,551,COMPILE_CODE_ERROR,None,None,5,4,0,1,0
6-4,2023-08-04 21:17:26,551,SUCCESS,36642996273,71.19,2,2,0,0,0
6-5,2023-08-04 21:17:26,551,SUCCESS,36642996273,71.19,2,2,0,0,0
6-6,2023-08-04 21:17:26,551,SUCCESS,36642996273,71.19,2,2,0,0,0
6-7,2023-08-04 21:17:26,551,SUCCESS,36642996273,71.19,2,2,0,0,0
