variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-04 08:27:46,0,INITIAL SUCCESS,66103528781,100,0,0,0,0,0
0-1,2023-08-04 08:27:46,49,SUCCESS,66103528781,100.0,0,0,0,0,0
0-2,2023-08-04 08:27:46,49,SUCCESS,66103528781,100.0,0,0,0,0,0
0-3,2023-08-04 08:28:36,99,RUN_TIMEOUT,None,None,1,1,0,0,0
0-4,2023-08-04 08:29:26,149,RUN_TIMEOUT,None,None,2,2,0,0,0
0-5,2023-08-04 08:30:16,199,RUN_TIMEOUT,None,None,6,6,0,0,0
0-6,2023-08-04 08:31:07,250,RUN_TIMEOUT,None,None,2,2,0,0,0
0-7,2023-08-04 08:31:07,250,COMPILE_CODE_ERROR,None,None,2,1,0,1,0
0-8,2023-08-04 08:31:57,300,RUN_TIMEOUT,None,None,2,1,0,1,0
0-9,2023-08-04 08:32:48,351,RUN_TIMEOUT,None,None,4,4,0,0,0
0-10,2023-08-04 08:33:31,394,SUCCESS,66127308062,100.04,1,0,1,0,0
1-1,2023-08-04 08:33:31,394,SUCCESS,66103528781,100.0,0,0,0,0,0
1-2,2023-08-04 08:33:31,394,SUCCESS,66103528781,100.0,0,0,0,0,0
1-3,2023-08-04 08:33:31,394,RUN_TIMEOUT,None,None,4,4,0,0,0
1-4,2023-08-04 08:34:19,442,SUCCESS,72729525360,110.02,1,1,0,0,0
1-5,2023-08-04 08:34:20,443,COMPILE_CODE_ERROR,None,None,2,1,0,0,1
1-6,2023-08-04 08:34:20,443,SUCCESS,66103528781,100.0,0,0,0,0,0
1-7,2023-08-04 08:34:20,443,SUCCESS,66103528781,100.0,0,0,0,0,0
1-8,2023-08-04 08:34:20,443,RUN_TIMEOUT,None,None,2,2,0,0,0
1-9,2023-08-04 08:34:20,443,COMPILE_CODE_ERROR,None,None,3,2,0,0,1
1-10,2023-08-04 08:34:20,443,SUCCESS,66127308062,100.04,1,0,1,0,0
2-1,2023-08-04 08:34:20,443,COMPILE_CODE_ERROR,None,None,3,2,1,0,0
2-2,2023-08-04 08:34:20,443,SUCCESS,66103528781,100.0,0,0,0,0,0
2-3,2023-08-04 08:34:20,443,SUCCESS,66103528781,100.0,0,0,0,0,0
2-4,2023-08-04 08:34:20,443,SUCCESS,66103528781,100.0,0,0,0,0,0
2-5,2023-08-04 08:34:20,443,SUCCESS,66103528781,100.0,0,0,0,0,0
2-6,2023-08-04 08:34:20,443,SUCCESS,66127308062,100.04,1,0,1,0,0
2-7,2023-08-04 08:34:20,443,SUCCESS,66103528781,100.0,0,0,0,0,0
2-8,2023-08-04 08:34:20,443,SUCCESS,66103528781,100.0,0,0,0,0,0
2-9,2023-08-04 08:34:21,444,SUCCESS,66103528781,100.0,0,0,0,0,0
2-10,2023-08-04 08:35:11,494,RUN_TIMEOUT,None,None,3,3,0,0,0
3-1,2023-08-04 08:35:11,494,SUCCESS,66103528781,100.0,0,0,0,0,0
3-2,2023-08-04 08:35:11,494,SUCCESS,66103528781,100.0,0,0,0,0,0
3-3,2023-08-04 08:35:11,494,COMPILE_CODE_ERROR,None,None,2,1,1,0,0
3-4,2023-08-04 08:35:11,494,SUCCESS,66103528781,100.0,0,0,0,0,0
3-5,2023-08-04 08:35:11,494,SUCCESS,66103528781,100.0,0,0,0,0,0
3-6,2023-08-04 08:35:11,494,SUCCESS,66103528781,100.0,0,0,0,0,0
3-7,2023-08-04 08:35:11,494,SUCCESS,66103528781,100.0,0,0,0,0,0
3-8,2023-08-04 08:35:11,494,SUCCESS,66103528781,100.0,0,0,0,0,0
3-9,2023-08-04 08:35:11,494,SUCCESS,66103528781,100.0,0,0,0,0,0
3-10,2023-08-04 08:35:11,494,SUCCESS,66103528781,100.0,0,0,0,0,0
4-1,2023-08-04 08:36:02,545,RUN_TIMEOUT,None,None,2,2,0,0,0
4-2,2023-08-04 08:36:02,545,SUCCESS,66103528781,100.0,0,0,0,0,0
4-3,2023-08-04 08:36:02,545,SUCCESS,66103528781,100.0,0,0,0,0,0
4-4,2023-08-04 08:36:02,545,SUCCESS,66103528781,100.0,0,0,0,0,0
4-5,2023-08-04 08:36:02,545,SUCCESS,66103528781,100.0,0,0,0,0,0
4-6,2023-08-04 08:36:02,545,SUCCESS,66103528781,100.0,0,0,0,0,0
4-7,2023-08-04 08:36:02,545,SUCCESS,66103528781,100.0,0,0,0,0,0
4-8,2023-08-04 08:36:44,587,SUCCESS,66148726496,100.07,2,1,0,1,0
4-9,2023-08-04 08:36:44,587,COMPILE_CODE_ERROR,None,None,4,3,1,0,0
4-10,2023-08-04 08:36:44,587,SUCCESS,66103528781,100.0,0,0,0,0,0
5-1,2023-08-04 08:36:44,587,SUCCESS,66103528781,100.0,0,0,0,0,0
5-2,2023-08-04 08:36:44,587,SUCCESS,66103528781,100.0,0,0,0,0,0
5-3,2023-08-04 08:36:44,587,SUCCESS,66103528781,100.0,0,0,0,0,0
5-4,2023-08-04 08:36:44,587,SUCCESS,66103528781,100.0,0,0,0,0,0
5-5,2023-08-04 08:36:44,587,SUCCESS,66103528781,100.0,0,0,0,0,0
5-6,2023-08-04 08:36:44,587,SUCCESS,66103528781,100.0,0,0,0,0,0
5-7,2023-08-04 08:37:34,637,RUN_TIMEOUT,None,None,4,4,0,0,0
5-8,2023-08-04 08:37:35,638,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
5-9,2023-08-04 08:37:35,638,SUCCESS,66103528781,100.0,0,0,0,0,0
5-10,2023-08-04 08:37:35,638,SUCCESS,66103528781,100.0,0,0,0,0,0
6-1,2023-08-04 08:38:25,688,RUN_TIMEOUT,None,None,2,2,0,0,0
6-2,2023-08-04 08:38:25,688,SUCCESS,66103528781,100.0,0,0,0,0,0
6-3,2023-08-04 08:38:25,688,SUCCESS,66103528781,100.0,0,0,0,0,0
6-4,2023-08-04 08:38:25,688,SUCCESS,66103528781,100.0,0,0,0,0,0
6-5,2023-08-04 08:38:25,688,SUCCESS,66103528781,100.0,0,0,0,0,0
