# variant number, timestamp, time elapse, status, fitness, percentage, edit
-1,2023-08-04 21:03:02,80,INITIAL SUCCESS,121217403331,100,0
0-1,2023-08-04 21:03:02,80,SUCCESS,121217403331,100.0,0
0-2,2023-08-04 21:03:02,80,SUCCESS,121217403331,100.0,0
0-3,2023-08-04 21:04:19,157,SUCCESS,120339955235,99.28,3
0-4,2023-08-04 21:05:39,237,RUN_TIMEOUT,None,None,None
0-5,2023-08-04 21:06:58,316,RUN_TIMEOUT,None,None,None
0-6,2023-08-04 21:08:17,395,RUN_TIMEOUT,None,None,None
0-7,2023-08-04 21:09:27,465,SUCCESS,114471739874,94.44,3
0-8,2023-08-04 21:10:47,545,RUN_TIMEOUT,None,None,None
0-9,2023-08-04 21:12:06,624,RUN_TIMEOUT,None,None,None
0-10,2023-08-04 21:13:25,703,RUN_TIMEOUT,None,None,None
1-1,2023-08-04 21:13:25,703,SUCCESS,114471739874,94.44,3
1-2,2023-08-04 21:14:33,771,SUCCESS,109032808104,89.95,6
1-3,2023-08-04 21:15:53,851,RUN_TIMEOUT,None,None,None
1-4,2023-08-04 21:15:53,851,SUCCESS,114471739874,94.44,3
1-5,2023-08-04 21:15:53,851,SUCCESS,121217403331,100.0,0
1-6,2023-08-04 21:15:53,851,SUCCESS,114471739874,94.44,3
1-7,2023-08-04 21:17:12,930,SUCCESS,129525323775,106.85,3
1-8,2023-08-04 21:18:30,1008,SUCCESS,129692673528,106.99,2
1-9,2023-08-04 21:18:30,1008,SUCCESS,120339955235,99.28,3
1-10,2023-08-04 21:19:49,1087,RUN_TIMEOUT,None,None,None
2-1,2023-08-04 21:21:00,1158,SUCCESS,113211982511,93.4,6
2-2,2023-08-04 21:22:11,1229,SUCCESS,116224359555,95.88,6
2-3,2023-08-04 21:23:30,1308,RUN_TIMEOUT,None,None,None
2-4,2023-08-04 21:24:39,1377,SUCCESS,113055604350,93.27,3
2-5,2023-08-04 21:24:39,1377,SUCCESS,109032808104,89.95,6
2-6,2023-08-04 21:24:39,1377,SUCCESS,114471739874,94.44,3
2-7,2023-08-04 21:25:56,1454,SUCCESS,128588459657,106.08,4
2-8,2023-08-04 21:27:07,1525,SUCCESS,121240900336,100.02,2
2-9,2023-08-04 21:27:07,1525,SUCCESS,109032808104,89.95,6
2-10,2023-08-04 21:27:07,1525,SUCCESS,109032808104,89.95,6
3-1,2023-08-04 21:27:07,1525,SUCCESS,109032808104,89.95,6
3-2,2023-08-04 21:27:07,1525,SUCCESS,109032808104,89.95,6
3-3,2023-08-04 21:27:07,1525,SUCCESS,109032808104,89.95,6
3-4,2023-08-04 21:27:07,1525,SUCCESS,109032808104,89.95,6
3-5,2023-08-04 21:28:23,1601,SUCCESS,123687883767,102.04,6
3-6,2023-08-04 21:29:30,1668,SUCCESS,109705871491,90.5,8
3-7,2023-08-04 21:30:50,1748,RUN_TIMEOUT,None,None,None
3-8,2023-08-04 21:30:50,1748,SUCCESS,109032808104,89.95,6
3-9,2023-08-04 21:30:50,1748,SUCCESS,109032808104,89.95,6
3-10,2023-08-04 21:32:04,1822,SUCCESS,120427086676,99.35,6
4-1,2023-08-04 21:32:04,1822,SUCCESS,109032808104,89.95,6
4-2,2023-08-04 21:32:04,1822,SUCCESS,109032808104,89.95,6
4-3,2023-08-04 21:32:04,1822,SUCCESS,109705871491,90.5,8
4-4,2023-08-04 21:32:04,1822,SUCCESS,109032808104,89.95,6
4-5,2023-08-04 21:32:04,1822,SUCCESS,109032808104,89.95,6
4-6,2023-08-04 21:32:04,1822,SUCCESS,109032808104,89.95,6
4-7,2023-08-04 21:32:04,1822,SUCCESS,109032808104,89.95,6
4-8,2023-08-04 21:32:04,1822,SUCCESS,109032808104,89.95,6
4-9,2023-08-04 21:33:21,1899,SUCCESS,125421986492,103.47,9
4-10,2023-08-04 21:33:21,1899,SUCCESS,109032808104,89.95,6
5-1,2023-08-04 21:33:21,1899,SUCCESS,109032808104,89.95,6
5-2,2023-08-04 21:33:21,1899,SUCCESS,109032808104,89.95,6
5-3,2023-08-04 21:33:21,1899,SUCCESS,109032808104,89.95,6
5-4,2023-08-04 21:33:21,1899,SUCCESS,109032808104,89.95,6
5-5,2023-08-04 21:33:21,1899,SUCCESS,109032808104,89.95,6
5-6,2023-08-04 21:33:21,1899,SUCCESS,109032808104,89.95,6
5-7,2023-08-04 21:33:21,1899,SUCCESS,109032808104,89.95,6
5-8,2023-08-04 21:33:21,1899,SUCCESS,109032808104,89.95,6
5-9,2023-08-04 21:33:21,1899,SUCCESS,109032808104,89.95,6
5-10,2023-08-04 21:34:27,1965,SUCCESS,109049637971,89.96,7
6-1,2023-08-04 21:34:27,1965,SUCCESS,109032808104,89.95,6
6-2,2023-08-04 21:35:46,2044,RUN_TIMEOUT,None,None,None
6-3,2023-08-04 21:35:46,2044,SUCCESS,109032808104,89.95,6
6-4,2023-08-04 21:35:46,2044,SUCCESS,109032808104,89.95,6
6-5,2023-08-04 21:35:46,2044,SUCCESS,109032808104,89.95,6
6-6,2023-08-04 21:35:46,2044,SUCCESS,109032808104,89.95,6
6-7,2023-08-04 21:35:46,2044,SUCCESS,109032808104,89.95,6
6-8,2023-08-04 21:35:46,2044,SUCCESS,109032808104,89.95,6
6-9,2023-08-04 21:35:46,2044,SUCCESS,109032808104,89.95,6
