variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-04 08:27:09,0,INITIAL SUCCESS,66112929425,100,0,0,0,0,0
0-1,2023-08-04 08:27:09,47,SUCCESS,66112929425,100.0,0,0,0,0,0
0-2,2023-08-04 08:27:09,47,SUCCESS,66112929425,100.0,0,0,0,0,0
0-3,2023-08-04 08:28:00,98,RUN_TIMEOUT,None,None,3,3,0,0,0
0-4,2023-08-04 08:28:50,148,RUN_TIMEOUT,None,None,2,2,0,0,0
0-5,2023-08-04 08:29:40,198,RUN_TIMEOUT,None,None,5,5,0,0,0
0-6,2023-08-04 08:30:30,248,RUN_TIMEOUT,None,None,3,3,0,0,0
0-7,2023-08-04 08:31:21,299,RUN_TIMEOUT,None,None,2,2,0,0,0
0-8,2023-08-04 08:32:07,345,SUCCESS,72057319894,108.99,4,4,0,0,0
0-9,2023-08-04 08:32:07,345,SUCCESS,66112929425,100.0,0,0,0,0,0
0-10,2023-08-04 08:32:51,389,SUCCESS,66034882904,99.88,2,2,0,0,0
1-1,2023-08-04 08:32:51,389,SUCCESS,66034882904,99.88,2,2,0,0,0
1-2,2023-08-04 08:32:52,390,SUCCESS,66112929425,100.0,1,1,0,0,0
1-3,2023-08-04 08:33:42,440,RUN_TIMEOUT,None,None,4,4,0,0,0
1-4,2023-08-04 08:34:32,490,RUN_TIMEOUT,None,None,6,6,0,0,0
1-5,2023-08-04 08:34:32,490,SUCCESS,66112929425,100.0,0,0,0,0,0
1-6,2023-08-04 08:34:32,490,SUCCESS,66112929425,100.0,0,0,0,0,0
1-7,2023-08-04 08:35:22,540,RUN_TIMEOUT,None,None,2,2,0,0,0
1-8,2023-08-04 08:36:13,591,RUN_TIMEOUT,None,None,3,3,0,0,0
1-9,2023-08-04 08:36:56,634,SUCCESS,66099738826,99.98,4,4,0,0,0
1-10,2023-08-04 08:37:39,677,SUCCESS,66105947818,99.99,2,2,0,0,0
2-1,2023-08-04 08:37:39,677,SUCCESS,66034882904,99.88,2,2,0,0,0
2-2,2023-08-04 08:37:39,677,SUCCESS,66099738826,99.98,4,4,0,0,0
2-3,2023-08-04 08:37:39,677,SUCCESS,66034882904,99.88,2,2,0,0,0
2-4,2023-08-04 08:37:39,677,SUCCESS,66112929425,100.0,0,0,0,0,0
2-5,2023-08-04 08:37:39,677,SUCCESS,66099738826,99.98,4,4,0,0,0
2-6,2023-08-04 08:37:39,677,SUCCESS,66099738826,99.98,4,4,0,0,0
2-7,2023-08-04 08:37:39,677,SUCCESS,66099738826,99.98,4,4,0,0,0
2-8,2023-08-04 08:37:39,677,SUCCESS,66099738826,99.98,4,4,0,0,0
2-9,2023-08-04 08:37:39,677,SUCCESS,66034882904,99.88,2,2,0,0,0
2-10,2023-08-04 08:37:39,677,SUCCESS,66099738826,99.98,4,4,0,0,0
3-1,2023-08-04 08:37:39,677,SUCCESS,66034882904,99.88,2,2,0,0,0
3-2,2023-08-04 08:37:39,677,SUCCESS,66034882904,99.88,2,2,0,0,0
3-3,2023-08-04 08:37:39,677,SUCCESS,66099738826,99.98,4,4,0,0,0
3-4,2023-08-04 08:37:39,677,SUCCESS,66099738826,99.98,4,4,0,0,0
3-5,2023-08-04 08:37:39,677,SUCCESS,66034882904,99.88,2,2,0,0,0
3-6,2023-08-04 08:37:39,677,SUCCESS,66034882904,99.88,2,2,0,0,0
3-7,2023-08-04 08:37:39,677,SUCCESS,66099738826,99.98,4,4,0,0,0
3-8,2023-08-04 08:37:39,677,SUCCESS,66034882904,99.88,2,2,0,0,0
3-9,2023-08-04 08:38:21,719,SUCCESS,66081829450,99.95,4,4,0,0,0
3-10,2023-08-04 08:39:05,763,SUCCESS,66033610193,99.88,3,3,0,0,0
4-1,2023-08-04 08:39:05,763,SUCCESS,66033610193,99.88,3,3,0,0,0
4-2,2023-08-04 08:39:05,763,SUCCESS,66034882904,99.88,3,3,0,0,0
4-3,2023-08-04 08:39:05,763,SUCCESS,66033610193,99.88,3,3,0,0,0
4-4,2023-08-04 08:39:05,763,SUCCESS,66033610193,99.88,3,3,0,0,0
4-5,2023-08-04 08:39:55,813,RUN_TIMEOUT,None,None,3,3,0,0,0
4-6,2023-08-04 08:39:55,813,SUCCESS,66034882904,99.88,2,2,0,0,0
4-7,2023-08-04 08:39:55,813,SUCCESS,66034882904,99.88,2,2,0,0,0
4-8,2023-08-04 08:40:45,863,RUN_TIMEOUT,None,None,9,9,0,0,0
4-9,2023-08-04 08:41:36,914,RUN_TIMEOUT,None,None,7,7,0,0,0
4-10,2023-08-04 08:41:36,914,SUCCESS,66033610193,99.88,3,3,0,0,0
5-1,2023-08-04 08:41:36,914,SUCCESS,66033610193,99.88,3,3,0,0,0
5-2,2023-08-04 08:41:36,914,SUCCESS,66033610193,99.88,3,3,0,0,0
5-3,2023-08-04 08:41:36,914,SUCCESS,66033610193,99.88,3,3,0,0,0
5-4,2023-08-04 08:42:26,964,RUN_TIMEOUT,None,None,5,5,0,0,0
5-5,2023-08-04 08:42:26,964,SUCCESS,66033610193,99.88,3,3,0,0,0
5-6,2023-08-04 08:42:26,964,SUCCESS,66033610193,99.88,3,3,0,0,0
5-7,2023-08-04 08:42:26,964,SUCCESS,66033610193,99.88,3,3,0,0,0
5-8,2023-08-04 08:43:16,1014,RUN_TIMEOUT,None,None,5,5,0,0,0
5-9,2023-08-04 08:43:16,1014,SUCCESS,66034882904,99.88,3,3,0,0,0
5-10,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
6-1,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
6-2,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
6-3,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
6-4,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
6-5,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
6-6,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
6-7,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
6-8,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
6-9,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
6-10,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
7-1,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
7-2,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
7-3,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
7-4,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
7-5,2023-08-04 08:43:16,1014,SUCCESS,66033610193,99.88,3,3,0,0,0
7-6,2023-08-04 08:44:07,1065,RUN_TIMEOUT,None,None,4,4,0,0,0
7-7,2023-08-04 08:44:07,1065,SUCCESS,66033610193,99.88,3,3,0,0,0
7-8,2023-08-04 08:44:07,1065,SUCCESS,66033610193,99.88,3,3,0,0,0
7-9,2023-08-04 08:44:07,1065,SUCCESS,66033610193,99.88,3,3,0,0,0
7-10,2023-08-04 08:44:07,1065,SUCCESS,66033610193,99.88,3,3,0,0,0
8-1,2023-08-04 08:44:57,1115,RUN_TIMEOUT,None,None,5,5,0,0,0
8-2,2023-08-04 08:44:57,1115,SUCCESS,66033610193,99.88,3,3,0,0,0
8-3,2023-08-04 08:44:57,1115,SUCCESS,66033610193,99.88,3,3,0,0,0
8-4,2023-08-04 08:45:47,1165,RUN_TIMEOUT,None,None,5,5,0,0,0
8-5,2023-08-04 08:46:38,1216,RUN_TIMEOUT,None,None,4,4,0,0,0
8-6,2023-08-04 08:46:38,1216,SUCCESS,66033610193,99.88,3,3,0,0,0
8-7,2023-08-04 08:47:28,1266,RUN_TIMEOUT,None,None,4,4,0,0,0
8-8,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
8-9,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
8-10,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
9-1,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
9-2,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
9-3,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
9-4,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
9-5,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
9-6,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
9-7,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
9-8,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
9-9,2023-08-04 08:47:28,1266,SUCCESS,66033610193,99.88,3,3,0,0,0
9-10,2023-08-04 08:48:18,1316,RUN_TIMEOUT,None,None,7,7,0,0,0
10-1,2023-08-04 08:48:18,1316,SUCCESS,66033610193,99.88,3,3,0,0,0
10-2,2023-08-04 08:49:09,1367,RUN_TIMEOUT,None,None,4,4,0,0,0
10-3,2023-08-04 08:49:09,1367,SUCCESS,66033610193,99.88,3,3,0,0,0
10-4,2023-08-04 08:49:59,1417,RUN_TIMEOUT,None,None,5,5,0,0,0
10-5,2023-08-04 08:49:59,1417,SUCCESS,66033610193,99.88,3,3,0,0,0
10-6,2023-08-04 08:49:59,1417,SUCCESS,66033610193,99.88,3,3,0,0,0
10-7,2023-08-04 08:49:59,1417,SUCCESS,66033610193,99.88,3,3,0,0,0
10-8,2023-08-04 08:49:59,1417,SUCCESS,66033610193,99.88,3,3,0,0,0
10-9,2023-08-04 08:49:59,1417,SUCCESS,66033610193,99.88,3,3,0,0,0
10-10,2023-08-04 08:50:49,1467,RUN_TIMEOUT,None,None,7,7,0,0,0
11-1,2023-08-04 08:51:33,1511,SUCCESS,67870463037,102.66,5,5,0,0,0
11-2,2023-08-04 08:51:33,1511,SUCCESS,66033610193,99.88,3,3,0,0,0
11-3,2023-08-04 08:51:33,1511,SUCCESS,66033610193,99.88,3,3,0,0,0
11-4,2023-08-04 08:51:33,1511,SUCCESS,66033610193,99.88,3,3,0,0,0
11-5,2023-08-04 08:51:33,1511,SUCCESS,66033610193,99.88,3,3,0,0,0
11-6,2023-08-04 08:51:33,1511,SUCCESS,66033610193,99.88,3,3,0,0,0
11-7,2023-08-04 08:51:33,1511,SUCCESS,66033610193,99.88,3,3,0,0,0
