# variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-04 17:53:41,0,INITIAL SUCCESS,48102108230,100,0,0,0,0,0
0-1,2023-08-04 17:53:41,40,SUCCESS,48102108230,100.0,0,0,0,0,0
0-2,2023-08-04 17:53:41,40,SUCCESS,48102108230,100.0,0,0,0,0,0
0-3,2023-08-04 17:54:09,68,SUCCESS,42355373841,88.05,2,2,0,0,0
0-4,2023-08-04 17:54:49,108,SUCCESS,57720076115,119.99,3,3,0,0,0
0-5,2023-08-04 17:55:26,145,SUCCESS,54059792462,112.39,5,5,0,0,0
0-6,2023-08-04 17:55:58,177,SUCCESS,48066909323,99.93,1,1,0,0,0
0-7,2023-08-04 17:56:38,217,RUN_TIMEOUT,None,None,5,5,0,0,0
0-8,2023-08-04 17:57:18,257,RUN_TIMEOUT,None,None,2,2,0,0,0
0-9,2023-08-04 17:57:49,288,SUCCESS,46217417852,96.08,1,1,0,0,0
0-10,2023-08-04 17:58:22,321,SUCCESS,51317873118,106.69,3,3,0,0,0
1-1,2023-08-04 17:58:54,353,SUCCESS,48683175504,101.21,5,5,0,0,0
1-2,2023-08-04 17:59:27,386,SUCCESS,50981593483,105.99,6,6,0,0,0
1-3,2023-08-04 18:00:08,427,RUN_TIMEOUT,None,None,4,4,0,0,0
1-4,2023-08-04 18:00:08,427,SUCCESS,48102108230,100.0,0,0,0,0,0
1-5,2023-08-04 18:00:40,459,SUCCESS,48575574963,100.98,7,7,0,0,0
1-6,2023-08-04 18:01:09,488,SUCCESS,44079218675,91.64,3,3,0,0,0
1-7,2023-08-04 18:01:41,520,SUCCESS,48078860993,99.95,1,1,0,0,0
1-8,2023-08-04 18:02:13,552,SUCCESS,48119509929,100.04,1,1,0,0,0
1-9,2023-08-04 18:02:13,552,SUCCESS,48102108230,100.0,0,0,0,0,0
1-10,2023-08-04 18:02:13,552,SUCCESS,57720076115,119.99,3,3,0,0,0
2-1,2023-08-04 18:02:13,552,SUCCESS,44079218675,91.64,3,3,0,0,0
2-2,2023-08-04 18:02:13,552,SUCCESS,48078860993,99.95,1,1,0,0,0
2-3,2023-08-04 18:02:13,552,SUCCESS,48102108230,100.0,0,0,0,0,0
2-4,2023-08-04 18:02:44,583,SUCCESS,44100641084,91.68,4,4,0,0,0
2-5,2023-08-04 18:02:44,583,SUCCESS,48102108230,100.0,0,0,0,0,0
2-6,2023-08-04 18:03:11,610,SUCCESS,41307622842,85.87,1,1,0,0,0
2-7,2023-08-04 18:03:47,646,SUCCESS,55523484392,115.43,4,4,0,0,0
2-8,2023-08-04 18:03:47,646,SUCCESS,48102108230,100.0,0,0,0,0,0
2-9,2023-08-04 18:03:47,646,SUCCESS,44079218675,91.64,3,3,0,0,0
2-10,2023-08-04 18:03:47,646,SUCCESS,44079218675,91.64,3,3,0,0,0
3-1,2023-08-04 18:04:20,679,SUCCESS,51816932413,107.72,7,7,0,0,0
3-2,2023-08-04 18:04:59,718,SUCCESS,59215289823,123.1,3,3,0,0,0
3-3,2023-08-04 18:05:27,746,SUCCESS,40512510544,84.22,4,4,0,0,0
3-4,2023-08-04 18:06:07,786,RUN_TIMEOUT,None,None,5,5,0,0,0
3-5,2023-08-04 18:06:47,826,RUN_TIMEOUT,None,None,7,7,0,0,0
3-6,2023-08-04 18:07:28,867,RUN_TIMEOUT,None,None,5,5,0,0,0
3-7,2023-08-04 18:07:28,867,SUCCESS,44079218675,91.64,3,3,0,0,0
3-8,2023-08-04 18:07:28,867,SUCCESS,44100641084,91.68,4,4,0,0,0
3-9,2023-08-04 18:07:28,867,SUCCESS,44079218675,91.64,3,3,0,0,0
3-10,2023-08-04 18:08:08,907,RUN_TIMEOUT,None,None,8,8,0,0,0
4-1,2023-08-04 18:08:47,946,SUCCESS,58532662909,121.68,4,4,0,0,0
4-2,2023-08-04 18:09:16,975,SUCCESS,41783951935,86.87,5,5,0,0,0
4-3,2023-08-04 18:09:16,975,SUCCESS,51816932413,107.72,7,7,0,0,0
4-4,2023-08-04 18:09:16,975,SUCCESS,44079218675,91.64,3,3,0,0,0
4-5,2023-08-04 18:09:49,1008,SUCCESS,51793357010,107.67,6,6,0,0,0
4-6,2023-08-04 18:10:17,1036,SUCCESS,40528949471,84.26,5,5,0,0,0
4-7,2023-08-04 18:10:17,1036,SUCCESS,44079218675,91.64,3,3,0,0,0
4-8,2023-08-04 18:10:17,1036,SUCCESS,44079218675,91.64,3,3,0,0,0
4-9,2023-08-04 18:10:17,1036,SUCCESS,59215289823,123.1,3,3,0,0,0
4-10,2023-08-04 18:10:17,1036,SUCCESS,44079218675,91.64,3,3,0,0,0
5-1,2023-08-04 18:10:51,1070,SUCCESS,52955333347,110.09,5,5,0,0,0
5-2,2023-08-04 18:11:22,1101,SUCCESS,46557912576,96.79,6,6,0,0,0
5-3,2023-08-04 18:12:02,1141,RUN_TIMEOUT,None,None,5,5,0,0,0
5-4,2023-08-04 18:12:02,1141,SUCCESS,44079218675,91.64,3,3,0,0,0
