# variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-04 21:04:17,0,INITIAL SUCCESS,121196518746,100,0,0,0,0,0
0-1,2023-08-04 21:04:17,81,SUCCESS,121196518746,100.0,0,0,0,0,0
0-2,2023-08-04 21:04:17,81,SUCCESS,121196518746,100.0,0,0,0,0,0
0-3,2023-08-04 21:05:32,156,SUCCESS,124684947858,102.88,1,0,0,1,0
0-4,2023-08-04 21:05:36,160,RUN_CODE_ERROR,None,None,1,0,0,1,0
0-5,2023-08-04 21:05:39,163,RUN_CODE_ERROR,None,None,1,0,0,1,0
0-6,2023-08-04 21:05:39,163,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
0-7,2023-08-04 21:05:39,163,SUCCESS,121196518746,100.0,0,0,0,0,0
0-8,2023-08-04 21:05:39,163,SUCCESS,121196518746,100.0,0,0,0,0,0
0-9,2023-08-04 21:05:40,164,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
0-10,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
1-1,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
1-2,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
1-3,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
1-4,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
1-5,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
1-6,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
1-7,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
1-8,2023-08-04 21:05:40,164,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
1-9,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
1-10,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
2-1,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
2-2,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
2-3,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
2-4,2023-08-04 21:05:40,164,SUCCESS,121196518746,100.0,0,0,0,0,0
2-5,2023-08-04 21:05:41,165,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
2-6,2023-08-04 21:05:41,165,SUCCESS,121196518746,100.0,0,0,0,0,0
2-7,2023-08-04 21:05:41,165,SUCCESS,121196518746,100.0,0,0,0,0,0
2-8,2023-08-04 21:05:41,165,SUCCESS,121196518746,100.0,0,0,0,0,0
2-9,2023-08-04 21:05:41,165,SUCCESS,121196518746,100.0,0,0,0,0,0
2-10,2023-08-04 21:05:41,165,SUCCESS,121196518746,100.0,0,0,0,0,0
