# variant number, timestamp, time elapse, status, fitness, percentage, edit
-1,2023-08-03 00:28:21,75,INITIAL SUCCESS,110244870537,100,0
1,2023-08-03 00:29:23,137,SUCCESS,98168072649,89.05,1
2,2023-08-03 00:30:37,211,RUN_TIMEOUT,None,None,None
3,2023-08-03 00:31:40,274,SUCCESS,98178861107,89.06,2
4,2023-08-03 00:31:40,274,COMPILE_CODE_ERROR,None,None,None
5,2023-08-03 00:31:44,278,RUN_CODE_ERROR,None,None,None
6,2023-08-03 00:31:44,278,COMPILE_CODE_ERROR,None,None,None
7,2023-08-03 00:31:44,278,SUCCESS,110244870537,100.0,0
8,2023-08-03 00:32:53,347,SUCCESS,109885290653,99.67,2
9,2023-08-03 00:32:53,347,COMPILE_CODE_ERROR,None,None,None
10,2023-08-03 00:32:54,348,COMPILE_CODE_ERROR,None,None,None
11,2023-08-03 00:33:55,409,SUCCESS,98670735070,89.5,2
12,2023-08-03 00:33:55,409,COMPILE_CODE_ERROR,None,None,None
13,2023-08-03 00:34:57,471,SUCCESS,98151845768,89.03,2
14,2023-08-03 00:36:06,540,SUCCESS,110220378905,99.98,1
15,2023-08-03 00:36:06,540,COMPILE_CODE_ERROR,None,None,None
16,2023-08-03 00:36:10,544,RUN_CODE_ERROR,None,None,None
17,2023-08-03 00:36:10,544,SUCCESS,98168072649,89.05,1
18,2023-08-03 00:36:13,547,RUN_CODE_ERROR,None,None,None
19,2023-08-03 00:36:13,547,COMPILE_CODE_ERROR,None,None,None
20,2023-08-03 00:37:16,610,SUCCESS,98199600678,89.07,3
21,2023-08-03 00:37:16,610,COMPILE_CODE_ERROR,None,None,None
22,2023-08-03 00:38:31,685,RUN_TIMEOUT,None,None,None
23,2023-08-03 00:39:45,759,RUN_TIMEOUT,None,None,None
24,2023-08-03 00:39:48,762,RUN_CODE_ERROR,None,None,None
25,2023-08-03 00:40:50,824,SUCCESS,98176090033,89.05,3
26,2023-08-03 00:40:50,824,COMPILE_CODE_ERROR,None,None,None
27,2023-08-03 00:42:04,898,RUN_TIMEOUT,None,None,None
28,2023-08-03 00:43:06,960,SUCCESS,98199758464,89.07,3
29,2023-08-03 00:44:11,1025,SUCCESS,103126900821,93.54,3
30,2023-08-03 00:44:11,1025,COMPILE_CODE_ERROR,None,None,None
31,2023-08-03 00:44:15,1029,RUN_CODE_ERROR,None,None,None
32,2023-08-03 00:44:15,1029,COMPILE_CODE_ERROR,None,None,None
33,2023-08-03 00:44:15,1029,COMPILE_CODE_ERROR,None,None,None
34,2023-08-03 00:44:19,1033,RUN_CODE_ERROR,None,None,None
35,2023-08-03 00:45:33,1107,RUN_TIMEOUT,None,None,None
36,2023-08-03 00:45:33,1107,COMPILE_CODE_ERROR,None,None,None
37,2023-08-03 00:46:33,1167,SUCCESS,90918059052,82.47,3
38,2023-08-03 00:47:47,1241,RUN_TIMEOUT,None,None,None
39,2023-08-03 00:47:47,1241,COMPILE_CODE_ERROR,None,None,None
40,2023-08-03 00:47:48,1242,COMPILE_CODE_ERROR,None,None,None
41,2023-08-03 00:47:48,1242,COMPILE_CODE_ERROR,None,None,None
42,2023-08-03 00:49:02,1316,RUN_TIMEOUT,None,None,None
43,2023-08-03 00:50:05,1379,SUCCESS,96643257244,87.66,4
44,2023-08-03 00:50:05,1379,COMPILE_CODE_ERROR,None,None,None
45,2023-08-03 00:51:04,1438,SUCCESS,90914679771,82.47,2
46,2023-08-03 00:52:18,1512,RUN_TIMEOUT,None,None,None
47,2023-08-03 00:52:18,1512,SUCCESS,98168072649,89.05,1
48,2023-08-03 00:53:32,1586,RUN_TIMEOUT,None,None,None
49,2023-08-03 00:54:47,1661,RUN_TIMEOUT,None,None,None
50,2023-08-03 00:54:47,1661,COMPILE_CODE_ERROR,None,None,None
51,2023-08-03 00:55:45,1719,SUCCESS,90928371783,82.48,3
52,2023-08-03 00:55:49,1723,RUN_CODE_ERROR,None,None,None
53,2023-08-03 00:55:52,1726,RUN_CODE_ERROR,None,None,None
54,2023-08-03 00:55:52,1726,SUCCESS,90914679771,82.47,3
55,2023-08-03 00:55:52,1726,SUCCESS,90914679771,82.47,4
56,2023-08-03 00:55:56,1730,RUN_CODE_ERROR,None,None,None
57,2023-08-03 00:55:57,1731,COMPILE_CODE_ERROR,None,None,None
58,2023-08-03 00:55:57,1731,SUCCESS,90914679771,82.47,3
59,2023-08-03 00:55:57,1731,COMPILE_CODE_ERROR,None,None,None
60,2023-08-03 00:55:57,1731,RUN_TIMEOUT,None,None,None
61,2023-08-03 00:55:57,1731,SUCCESS,98168072649,89.05,2
62,2023-08-03 00:56:00,1734,RUN_CODE_ERROR,None,None,None
63,2023-08-03 00:56:01,1735,COMPILE_CODE_ERROR,None,None,None
64,2023-08-03 00:56:01,1735,SUCCESS,90914679771,82.47,2
65,2023-08-03 00:56:01,1735,SUCCESS,90914679771,82.47,3
66,2023-08-03 00:57:15,1809,RUN_TIMEOUT,None,None,None
67,2023-08-03 00:57:15,1809,SUCCESS,90914679771,82.47,2
68,2023-08-03 00:57:15,1809,SUCCESS,98168072649,89.05,1
69,2023-08-03 00:58:30,1884,RUN_TIMEOUT,None,None,None
70,2023-08-03 00:58:30,1884,RUN_TIMEOUT,None,None,None
71,2023-08-03 00:58:33,1887,RUN_CODE_ERROR,None,None,None
72,2023-08-03 00:58:33,1887,COMPILE_CODE_ERROR,None,None,None
73,2023-08-03 00:58:33,1887,SUCCESS,90914679771,82.47,3
74,2023-08-03 00:58:33,1887,SUCCESS,98168072649,89.05,2
75,2023-08-03 00:58:33,1887,RUN_TIMEOUT,None,None,None
76,2023-08-03 00:58:34,1888,COMPILE_CODE_ERROR,None,None,None
77,2023-08-03 00:58:37,1891,RUN_CODE_ERROR,None,None,None
78,2023-08-03 00:58:37,1891,SUCCESS,90914679771,82.47,2
