# variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-03 06:47:12,0,INITIAL SUCCESS,106840218292,100,0,0,0,0,0
1,2023-08-03 06:48:17,138,SUCCESS,106856746198,100.02,1,0,1,0,0
2,2023-08-03 06:49:22,203,SUCCESS,106860884134,100.02,1,0,0,1,0
3,2023-08-03 06:49:26,207,RUN_CODE_ERROR,None,None,1,0,0,1,0
4,2023-08-03 06:49:29,210,RUN_CODE_ERROR,None,None,1,0,0,0,1
5,2023-08-03 06:49:29,210,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
6,2023-08-03 06:49:30,211,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
7,2023-08-03 06:50:37,278,SUCCESS,106831385278,99.99,1,0,0,1,0
8,2023-08-03 06:50:37,278,SUCCESS,106840218292,100.0,0,0,0,0,0
9,2023-08-03 06:50:37,278,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
10,2023-08-03 06:50:37,278,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
11,2023-08-03 06:50:38,279,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
12,2023-08-03 06:50:38,279,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
13,2023-08-03 06:50:39,280,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
14,2023-08-03 06:50:39,280,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
15,2023-08-03 06:51:50,351,RUN_TIMEOUT,None,None,2,0,0,2,0
16,2023-08-03 06:51:51,352,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
17,2023-08-03 06:51:51,352,SUCCESS,106831385278,99.99,2,1,0,1,0
18,2023-08-03 06:51:51,352,SUCCESS,106840218292,100.0,1,1,0,0,0
19,2023-08-03 06:51:51,352,COMPILE_CODE_ERROR,None,None,3,1,0,1,1
20,2023-08-03 06:52:56,417,SUCCESS,106820897931,99.98,3,2,0,1,0
21,2023-08-03 06:53:52,473,SUCCESS,88868379113,83.18,4,2,0,1,1
22,2023-08-03 06:53:53,474,COMPILE_CODE_ERROR,None,None,5,2,1,1,1
23,2023-08-03 06:53:53,474,SUCCESS,106820897931,99.98,3,2,0,1,0
24,2023-08-03 06:53:53,474,SUCCESS,88868379113,83.18,3,1,0,1,1
25,2023-08-03 06:53:53,474,SUCCESS,88868379113,83.18,4,2,0,1,1
26,2023-08-03 06:53:53,474,SUCCESS,106820897931,99.98,3,2,0,1,0
27,2023-08-03 06:55:04,545,RUN_TIMEOUT,None,None,5,3,0,1,1
28,2023-08-03 06:55:04,545,SUCCESS,88868379113,83.18,3,1,0,1,1
29,2023-08-03 06:56:09,610,SUCCESS,106775822313,99.94,4,2,0,1,1
30,2023-08-03 06:56:09,610,COMPILE_CODE_ERROR,None,None,4,1,0,2,1
31,2023-08-03 06:56:09,610,SUCCESS,88868379113,83.18,4,1,0,1,2
32,2023-08-03 06:57:05,666,SUCCESS,88866453784,83.18,3,1,0,0,2
