# variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-01 23:40:52,0,INITIAL SUCCESS,110245242413,100,0,0,0,0,0
1,2023-08-01 23:42:06,145,RUN_TIMEOUT,None,None,1,1,0,0,0
2,2023-08-01 23:43:05,204,SUCCESS,93986586492,85.25,1,1,0,0,0
3,2023-08-01 23:43:05,204,SUCCESS,110245242413,100.0,0,0,0,0,0
4,2023-08-01 23:44:19,278,RUN_TIMEOUT,None,None,2,2,0,0,0
5,2023-08-01 23:44:19,278,SUCCESS,93986586492,85.25,2,2,0,0,0
6,2023-08-01 23:44:19,278,SUCCESS,110245242413,100.0,1,1,0,0,0
7,2023-08-01 23:44:19,278,SUCCESS,93986586492,85.25,1,1,0,0,0
8,2023-08-01 23:45:15,334,SUCCESS,90118327226,81.74,2,2,0,0,0
9,2023-08-01 23:46:01,380,SUCCESS,72282454129,65.57,1,1,0,0,0
10,2023-08-01 23:46:01,380,SUCCESS,72282454129,65.57,2,2,0,0,0
11,2023-08-01 23:46:47,426,SUCCESS,72271837060,65.56,3,3,0,0,0
12,2023-08-01 23:47:55,494,SUCCESS,110254917181,100.01,2,2,0,0,0
13,2023-08-01 23:47:55,494,SUCCESS,72282454129,65.57,2,2,0,0,0
14,2023-08-01 23:47:55,494,SUCCESS,72271837060,65.56,2,2,0,0,0
15,2023-08-01 23:47:55,494,SUCCESS,72282454129,65.57,1,1,0,0,0
16,2023-08-01 23:49:03,562,SUCCESS,107895783322,97.87,3,3,0,0,0
17,2023-08-01 23:49:03,562,SUCCESS,110254917181,100.01,1,1,0,0,0
18,2023-08-01 23:49:49,608,SUCCESS,72292726095,65.57,3,3,0,0,0
19,2023-08-01 23:49:49,608,SUCCESS,72271837060,65.56,3,3,0,0,0
20,2023-08-01 23:50:44,663,SUCCESS,82967666351,75.26,4,4,0,0,0
21,2023-08-01 23:50:44,663,SUCCESS,72271837060,65.56,2,2,0,0,0
22,2023-08-01 23:50:44,663,SUCCESS,72282454129,65.57,1,1,0,0,0
23,2023-08-01 23:51:29,708,SUCCESS,72365497291,65.64,3,3,0,0,0
24,2023-08-01 23:51:29,708,SUCCESS,110254917181,100.01,1,1,0,0,0
25,2023-08-01 23:52:16,755,SUCCESS,72165221105,65.46,3,3,0,0,0
26,2023-08-01 23:53:03,802,SUCCESS,72248231213,65.53,4,4,0,0,0
27,2023-08-01 23:53:03,802,SUCCESS,72271837060,65.56,2,2,0,0,0
28,2023-08-01 23:53:51,850,SUCCESS,72194628509,65.49,4,4,0,0,0
29,2023-08-01 23:55:02,921,SUCCESS,110115768215,99.88,2,2,0,0,0
30,2023-08-01 23:55:02,921,SUCCESS,72165221105,65.46,4,4,0,0,0
31,2023-08-01 23:55:02,921,SUCCESS,110115768215,99.88,3,3,0,0,0
32,2023-08-01 23:55:50,969,SUCCESS,72179385116,65.47,5,5,0,0,0
33,2023-08-01 23:55:50,969,SUCCESS,72271837060,65.56,3,3,0,0,0
34,2023-08-01 23:56:39,1018,SUCCESS,72212876827,65.5,3,3,0,0,0
35,2023-08-01 23:57:53,1092,RUN_TIMEOUT,None,None,5,5,0,0,0
36,2023-08-01 23:57:53,1092,SUCCESS,72165221105,65.46,5,5,0,0,0
37,2023-08-01 23:57:53,1092,SUCCESS,72165221105,65.46,6,6,0,0,0
38,2023-08-01 23:58:42,1141,SUCCESS,78987210209,71.65,7,7,0,0,0
39,2023-08-01 23:58:42,1141,SUCCESS,72165221105,65.46,5,5,0,0,0
40,2023-08-01 23:58:42,1141,SUCCESS,72165221105,65.46,4,4,0,0,0
41,2023-08-01 23:58:42,1141,SUCCESS,72165221105,65.46,5,5,0,0,0
42,2023-08-01 23:58:42,1141,SUCCESS,72165221105,65.46,6,6,0,0,0
43,2023-08-01 23:58:42,1141,SUCCESS,72165221105,65.46,5,5,0,0,0
44,2023-08-01 23:58:42,1141,RUN_TIMEOUT,None,None,6,6,0,0,0
45,2023-08-01 23:58:42,1141,SUCCESS,72165221105,65.46,6,6,0,0,0
46,2023-08-01 23:58:42,1141,SUCCESS,72165221105,65.46,7,7,0,0,0
47,2023-08-01 23:59:30,1189,SUCCESS,72178684781,65.47,8,8,0,0,0
48,2023-08-02 00:00:13,1232,SUCCESS,67915457431,61.6,8,8,0,0,0
49,2023-08-02 00:00:13,1232,SUCCESS,67915457431,61.6,9,9,0,0,0
50,2023-08-02 00:00:56,1275,SUCCESS,68000002080,61.68,8,8,0,0,0
51,2023-08-02 00:01:39,1318,SUCCESS,67874516476,61.57,10,10,0,0,0
52,2023-08-02 00:02:23,1362,SUCCESS,67866317016,61.56,9,9,0,0,0
53,2023-08-02 00:02:23,1362,SUCCESS,67866317016,61.56,8,8,0,0,0
