variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-01 23:41:09,0,INITIAL SUCCESS,81331066223,100,0,0,0,0,0
1,2023-08-01 23:42:09,118,RUN_TIMEOUT,None,None,1,1,0,0,0
2,2023-08-01 23:42:09,118,SUCCESS,81331066223,100.0,1,1,0,0,0
3,2023-08-01 23:42:48,157,SUCCESS,59788934764,73.51,2,2,0,0,0
4,2023-08-01 23:43:44,213,SUCCESS,85322929641,104.91,3,3,0,0,0
5,2023-08-01 23:43:44,213,SUCCESS,81331066223,100.0,1,1,0,0,0
6,2023-08-01 23:44:41,270,SUCCESS,86499080807,106.35,3,3,0,0,0
7,2023-08-01 23:45:20,309,SUCCESS,59811547470,73.54,3,3,0,0,0
8,2023-08-01 23:45:57,346,SUCCESS,55380913576,68.09,3,3,0,0,0
9,2023-08-01 23:45:57,346,SUCCESS,55380913576,68.09,2,2,0,0,0
10,2023-08-01 23:46:35,384,SUCCESS,55379137500,68.09,3,3,0,0,0
11,2023-08-01 23:47:34,443,RUN_TIMEOUT,None,None,4,4,0,0,0
12,2023-08-01 23:48:11,480,SUCCESS,55367759539,68.08,4,4,0,0,0
13,2023-08-01 23:49:10,539,RUN_TIMEOUT,None,None,5,5,0,0,0
14,2023-08-01 23:49:48,577,SUCCESS,55366544350,68.08,5,5,0,0,0
15,2023-08-01 23:49:48,577,SUCCESS,55366544350,68.08,6,6,0,0,0
16,2023-08-01 23:49:48,577,SUCCESS,55366544350,68.08,5,5,0,0,0
17,2023-08-01 23:50:47,636,RUN_TIMEOUT,None,None,6,6,0,0,0
18,2023-08-01 23:51:25,674,SUCCESS,55330795322,68.03,6,6,0,0,0
19,2023-08-01 23:52:11,720,SUCCESS,67413931178,82.89,5,5,0,0,0
20,2023-08-01 23:52:49,758,SUCCESS,55342845166,68.05,7,7,0,0,0
21,2023-08-01 23:53:27,796,SUCCESS,55409119152,68.13,7,7,0,0,0
22,2023-08-01 23:54:26,855,RUN_TIMEOUT,None,None,7,7,0,0,0
23,2023-08-01 23:54:26,855,SUCCESS,55330795322,68.03,7,7,0,0,0
24,2023-08-01 23:54:26,855,SUCCESS,55330795322,68.03,6,6,0,0,0
25,2023-08-01 23:54:26,855,SUCCESS,67413931178,82.89,5,5,0,0,0
26,2023-08-01 23:55:03,892,SUCCESS,55326091083,68.03,5,5,0,0,0
27,2023-08-01 23:55:04,893,SUCCESS,55326091083,68.03,4,4,0,0,0
28,2023-08-01 23:55:43,932,SUCCESS,59752946848,73.47,3,3,0,0,0
29,2023-08-01 23:55:43,932,SUCCESS,55326091083,68.03,5,5,0,0,0
30,2023-08-01 23:56:42,991,RUN_TIMEOUT,None,None,6,6,0,0,0
31,2023-08-01 23:56:42,991,SUCCESS,55326091083,68.03,4,4,0,0,0
32,2023-08-01 23:57:41,1050,RUN_TIMEOUT,None,None,5,5,0,0,0
33,2023-08-01 23:58:20,1089,SUCCESS,55337455443,68.04,5,5,0,0,0
34,2023-08-01 23:58:58,1127,SUCCESS,55319588077,68.02,3,3,0,0,0
35,2023-08-01 23:59:36,1165,SUCCESS,55352586554,68.06,4,4,0,0,0
