# variant number, timestamp, time elapse, status, fitness, percentage, edit
-1,2023-08-02 02:49:51,47,INITIAL SUCCESS,60651540810,100,0
1,2023-08-02 02:50:30,86,SUCCESS,63768086697,105.14,1
2,2023-08-02 02:51:17,133,RUN_TIMEOUT,None,None,None
3,2023-08-02 02:51:17,133,SUCCESS,60651540810,100.0,1
4,2023-08-02 02:52:04,180,RUN_TIMEOUT,None,None,None
5,2023-08-02 02:52:04,180,SUCCESS,60651540810,100.0,0
6,2023-08-02 02:52:51,227,RUN_TIMEOUT,None,None,None
7,2023-08-02 02:53:39,275,RUN_TIMEOUT,None,None,None
8,2023-08-02 02:54:26,322,RUN_TIMEOUT,None,None,None
9,2023-08-02 02:55:03,359,SUCCESS,60641351863,99.98,1
10,2023-08-02 02:55:40,396,SUCCESS,60642233093,99.98,2
11,2023-08-02 02:55:40,396,SUCCESS,60651540810,100.0,0
12,2023-08-02 02:56:27,443,RUN_TIMEOUT,None,None,None
13,2023-08-02 02:57:14,490,RUN_TIMEOUT,None,None,None
14,2023-08-02 02:57:14,490,SUCCESS,60641351863,99.98,2
15,2023-08-02 02:57:14,490,SUCCESS,60641351863,99.98,1
16,2023-08-02 02:57:14,490,SUCCESS,60651540810,100.0,0
17,2023-08-02 02:58:01,537,RUN_TIMEOUT,None,None,None
18,2023-08-02 02:58:48,584,RUN_TIMEOUT,None,None,None
19,2023-08-02 02:58:48,584,SUCCESS,60641351863,99.98,2
20,2023-08-02 02:58:48,584,SUCCESS,60651540810,100.0,1
21,2023-08-02 02:58:48,584,SUCCESS,60641351863,99.98,1
22,2023-08-02 02:59:34,630,SUCCESS,77173321217,127.24,2
23,2023-08-02 02:59:35,631,SUCCESS,60651540810,100.0,0
24,2023-08-02 03:00:22,678,RUN_TIMEOUT,None,None,None
25,2023-08-02 03:01:09,725,RUN_TIMEOUT,None,None,None
26,2023-08-02 03:01:47,763,SUCCESS,60591717338,99.9,2
27,2023-08-02 03:02:34,810,RUN_TIMEOUT,None,None,None
28,2023-08-02 03:03:10,846,SUCCESS,60639532876,99.98,3
29,2023-08-02 03:03:48,884,SUCCESS,60568948308,99.86,3
30,2023-08-02 03:03:48,884,SUCCESS,60568948308,99.86,4
31,2023-08-02 03:04:36,932,RUN_TIMEOUT,None,None,None
32,2023-08-02 03:05:24,980,RUN_TIMEOUT,None,None,None
33,2023-08-02 03:06:11,1027,RUN_TIMEOUT,None,None,None
34,2023-08-02 03:06:11,1027,SUCCESS,60568948308,99.86,5
35,2023-08-02 03:06:47,1063,SUCCESS,60638946925,99.98,4
36,2023-08-02 03:07:34,1110,RUN_TIMEOUT,None,None,None
37,2023-08-02 03:08:21,1157,RUN_TIMEOUT,None,None,None
38,2023-08-02 03:08:21,1157,SUCCESS,60568948308,99.86,6
39,2023-08-02 03:08:21,1157,SUCCESS,60568948308,99.86,5
40,2023-08-02 03:08:21,1157,SUCCESS,60568948308,99.86,4
41,2023-08-02 03:08:58,1194,SUCCESS,60987686433,100.55,5
