# variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-02 21:59:14,0,INITIAL SUCCESS,81334004626,100,0,0,0,0,0
1,2023-08-02 22:00:07,113,SUCCESS,81340144925,100.01,1,0,0,1,0
2,2023-08-02 22:01:00,166,SUCCESS,81314879703,99.98,1,0,0,1,0
3,2023-08-02 22:01:59,225,RUN_TIMEOUT,None,None,2,0,1,1,0
4,2023-08-02 22:02:00,226,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
5,2023-08-02 22:02:00,226,COMPILE_CODE_ERROR,None,None,2,0,0,2,0
6,2023-08-02 22:02:00,226,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
7,2023-08-02 22:02:00,226,SUCCESS,81334004626,100.0,0,0,0,0,0
8,2023-08-02 22:02:01,227,COMPILE_CODE_ERROR,None,None,2,0,0,2,0
9,2023-08-02 22:02:53,279,SUCCESS,81318236457,99.98,2,0,1,1,0
10,2023-08-02 22:02:57,283,RUN_CODE_ERROR,None,None,2,0,0,2,0
11,2023-08-02 22:02:57,283,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
12,2023-08-02 22:03:48,334,SUCCESS,81312123494,99.97,2,0,0,1,1
13,2023-08-02 22:03:48,334,SUCCESS,81314879703,99.98,1,0,0,1,0
14,2023-08-02 22:04:48,394,RUN_TIMEOUT,None,None,3,0,0,1,2
15,2023-08-02 22:04:48,394,COMPILE_CODE_ERROR,None,None,3,0,1,1,1
16,2023-08-02 22:05:40,446,SUCCESS,81309605533,99.97,1,0,0,0,1
17,2023-08-02 22:05:40,446,SUCCESS,81334004626,100.0,0,0,0,0,0
18,2023-08-02 22:06:32,498,SUCCESS,81334728986,100.0,2,0,1,0,1
19,2023-08-02 22:07:31,557,SUCCESS,92318988711,113.51,2,0,0,1,1
20,2023-08-02 22:07:34,560,RUN_CODE_ERROR,None,None,2,0,1,0,1
21,2023-08-02 22:07:35,561,COMPILE_CODE_ERROR,None,None,2,0,1,0,1
22,2023-08-02 22:08:27,613,SUCCESS,81326444835,99.99,2,0,1,0,1
23,2023-08-02 22:09:21,667,SUCCESS,82512770827,101.45,2,0,0,1,1
24,2023-08-02 22:10:21,727,RUN_TIMEOUT,None,None,2,0,0,1,1
25,2023-08-02 22:11:20,786,RUN_TIMEOUT,None,None,2,0,0,0,2
26,2023-08-02 22:12:13,839,SUCCESS,81339811380,100.01,2,0,1,0,1
27,2023-08-02 22:12:16,842,RUN_CODE_ERROR,None,None,2,0,0,0,2
28,2023-08-02 22:13:16,902,RUN_TIMEOUT,None,None,2,0,0,1,1
29,2023-08-02 22:13:16,902,COMPILE_CODE_ERROR,None,None,2,0,0,0,2
30,2023-08-02 22:14:15,961,RUN_TIMEOUT,None,None,2,0,1,0,1
31,2023-08-02 22:15:09,1015,SUCCESS,81249097542,99.9,2,0,0,1,1
32,2023-08-02 22:16:08,1074,RUN_TIMEOUT,None,None,3,0,0,2,1
33,2023-08-02 22:16:09,1075,COMPILE_CODE_ERROR,None,None,3,0,1,1,1
34,2023-08-02 22:16:09,1075,COMPILE_CODE_ERROR,None,None,3,0,0,1,2
35,2023-08-02 22:16:10,1076,COMPILE_CODE_ERROR,None,None,3,0,0,1,2
36,2023-08-02 22:16:10,1076,SUCCESS,81309605533,99.97,1,0,0,0,1
37,2023-08-02 22:17:02,1128,SUCCESS,81258490477,99.91,1,0,0,1,0
38,2023-08-02 22:17:03,1129,COMPILE_CODE_ERROR,None,None,3,0,1,1,1
39,2023-08-02 22:17:03,1129,COMPILE_CODE_ERROR,None,None,3,0,1,1,1
40,2023-08-02 22:17:03,1129,COMPILE_CODE_ERROR,None,None,3,0,0,2,1
41,2023-08-02 22:18:03,1189,RUN_TIMEOUT,None,None,3,0,0,1,2
42,2023-08-02 22:18:03,1189,COMPILE_CODE_ERROR,None,None,3,0,1,1,1
43,2023-08-02 22:18:04,1190,COMPILE_CODE_ERROR,None,None,3,0,0,1,2
44,2023-08-02 22:18:07,1193,RUN_CODE_ERROR,None,None,3,0,1,1,1
45,2023-08-02 22:19:00,1246,SUCCESS,81241608270,99.89,3,0,0,2,1
46,2023-08-02 22:19:52,1298,SUCCESS,81299254921,99.96,2,0,0,1,1
47,2023-08-02 22:20:46,1352,SUCCESS,81220031654,99.86,4,0,0,2,2
