# variant number, timestamp, time elapse, status, fitness, percentage, edit
-1,2023-08-03 04:18:03,97,INITIAL SUCCESS,144629004113,100,0
1,2023-08-03 04:19:35,189,SUCCESS,144611734926,99.99,1
2,2023-08-03 04:19:35,189,COMPILE_CODE_ERROR,None,None,None
3,2023-08-03 04:19:36,190,COMPILE_CODE_ERROR,None,None,None
4,2023-08-03 04:19:36,190,SUCCESS,144629004113,100.0,0
5,2023-08-03 04:19:36,190,COMPILE_CODE_ERROR,None,None,None
6,2023-08-03 04:19:36,190,COMPILE_CODE_ERROR,None,None,None
7,2023-08-03 04:19:37,191,COMPILE_CODE_ERROR,None,None,None
8,2023-08-03 04:19:37,191,COMPILE_CODE_ERROR,None,None,None
9,2023-08-03 04:21:09,283,SUCCESS,144581740579,99.97,2
10,2023-08-03 04:22:40,374,SUCCESS,144604380318,99.98,1
11,2023-08-03 04:22:40,374,COMPILE_CODE_ERROR,None,None,None
12,2023-08-03 04:22:44,378,RUN_CODE_ERROR,None,None,None
13,2023-08-03 04:22:44,378,SUCCESS,144611734926,99.99,1
14,2023-08-03 04:24:13,467,SUCCESS,144612103120,99.99,3
15,2023-08-03 04:24:14,468,COMPILE_CODE_ERROR,None,None,None
16,2023-08-03 04:25:46,560,SUCCESS,144581626272,99.97,3
17,2023-08-03 04:27:18,652,SUCCESS,144614934716,99.99,2
18,2023-08-03 04:28:48,742,SUCCESS,144614511808,99.99,2
19,2023-08-03 04:28:48,742,SUCCESS,144581740579,99.97,2
20,2023-08-03 04:28:49,743,COMPILE_CODE_ERROR,None,None,None
21,2023-08-03 04:28:49,743,COMPILE_CODE_ERROR,None,None,None
22,2023-08-03 04:28:49,743,COMPILE_CODE_ERROR,None,None,None
23,2023-08-03 04:28:50,744,COMPILE_CODE_ERROR,None,None,None
24,2023-08-03 04:28:50,744,COMPILE_CODE_ERROR,None,None,None
25,2023-08-03 04:30:21,835,SUCCESS,146167662854,101.06,4
26,2023-08-03 04:31:50,924,SUCCESS,144661774043,100.02,4
27,2023-08-03 04:31:51,925,COMPILE_CODE_ERROR,None,None,None
28,2023-08-03 04:33:26,1020,RUN_TIMEOUT,None,None,None
29,2023-08-03 04:33:26,1020,COMPILE_CODE_ERROR,None,None,None
30,2023-08-03 04:33:27,1021,COMPILE_CODE_ERROR,None,None,None
31,2023-08-03 04:33:27,1021,COMPILE_CODE_ERROR,None,None,None
32,2023-08-03 04:33:30,1024,RUN_CODE_ERROR,None,None,None
33,2023-08-03 04:35:03,1117,SUCCESS,144637306077,100.01,4
34,2023-08-03 04:35:06,1120,RUN_CODE_ERROR,None,None,None
35,2023-08-03 04:35:07,1121,COMPILE_CODE_ERROR,None,None,None
36,2023-08-03 04:35:10,1124,RUN_CODE_ERROR,None,None,None
37,2023-08-03 04:36:41,1215,SUCCESS,144487684016,99.9,4
38,2023-08-03 04:36:42,1216,COMPILE_CODE_ERROR,None,None,None
39,2023-08-03 04:36:42,1216,COMPILE_CODE_ERROR,None,None,None
40,2023-08-03 04:36:42,1216,SUCCESS,144581626272,99.97,3
41,2023-08-03 04:38:14,1308,SUCCESS,144457377409,99.88,3
42,2023-08-03 04:38:15,1309,COMPILE_CODE_ERROR,None,None,None
43,2023-08-03 04:38:15,1309,SUCCESS,144614934716,99.99,2
44,2023-08-03 04:39:47,1401,SUCCESS,144540280723,99.94,2
45,2023-08-03 04:41:18,1492,SUCCESS,144511194038,99.92,2
46,2023-08-03 04:42:49,1583,SUCCESS,144483887426,99.9,4
47,2023-08-03 04:42:49,1583,COMPILE_CODE_ERROR,None,None,None
48,2023-08-03 04:44:21,1675,SUCCESS,144478746024,99.9,4
49,2023-08-03 04:44:21,1675,COMPILE_CODE_ERROR,None,None,None
50,2023-08-03 04:44:21,1675,COMPILE_CODE_ERROR,None,None,None
51,2023-08-03 04:44:22,1676,COMPILE_CODE_ERROR,None,None,None
52,2023-08-03 04:44:22,1676,COMPILE_CODE_ERROR,None,None,None
53,2023-08-03 04:44:26,1680,RUN_CODE_ERROR,None,None,None
54,2023-08-03 04:44:29,1683,RUN_CODE_ERROR,None,None,None
55,2023-08-03 04:44:29,1683,COMPILE_CODE_ERROR,None,None,None
56,2023-08-03 04:46:01,1775,SUCCESS,144493459032,99.91,4
57,2023-08-03 04:47:33,1867,SUCCESS,144484168890,99.9,4
58,2023-08-03 04:47:34,1868,COMPILE_CODE_ERROR,None,None,None
59,2023-08-03 04:47:34,1868,COMPILE_CODE_ERROR,None,None,None
60,2023-08-03 04:49:07,1961,SUCCESS,144491075310,99.9,4
61,2023-08-03 04:49:10,1964,RUN_CODE_ERROR,None,None,None
62,2023-08-03 04:49:11,1965,COMPILE_CODE_ERROR,None,None,None
63,2023-08-03 04:49:11,1965,COMPILE_CODE_ERROR,None,None,None
64,2023-08-03 04:49:22,1976,RUN_CODE_ERROR,None,None,None
65,2023-08-03 04:49:25,1979,RUN_CODE_ERROR,None,None,None
66,2023-08-03 04:49:25,1979,COMPILE_CODE_ERROR,None,None,None
67,2023-08-03 04:49:26,1980,COMPILE_CODE_ERROR,None,None,None
68,2023-08-03 04:50:56,2070,SUCCESS,144498739001,99.91,4
69,2023-08-03 04:50:57,2071,COMPILE_CODE_ERROR,None,None,None
70,2023-08-03 04:50:57,2071,COMPILE_CODE_ERROR,None,None,None
71,2023-08-03 04:52:33,2167,RUN_TIMEOUT,None,None,None
72,2023-08-03 04:52:36,2170,RUN_CODE_ERROR,None,None,None
73,2023-08-03 04:54:07,2261,SUCCESS,144502740743,99.91,4
74,2023-08-03 04:54:07,2261,COMPILE_CODE_ERROR,None,None,None
75,2023-08-03 04:55:38,2352,SUCCESS,144473920576,99.89,4
76,2023-08-03 04:55:42,2356,RUN_CODE_ERROR,None,None,None
77,2023-08-03 04:55:42,2356,COMPILE_CODE_ERROR,None,None,None
78,2023-08-03 04:55:46,2360,RUN_CODE_ERROR,None,None,None
79,2023-08-03 04:55:46,2360,COMPILE_CODE_ERROR,None,None,None
80,2023-08-03 04:55:46,2360,COMPILE_CODE_ERROR,None,None,None
81,2023-08-03 04:55:47,2361,COMPILE_CODE_ERROR,None,None,None
82,2023-08-03 04:55:50,2364,RUN_CODE_ERROR,None,None,None
83,2023-08-03 04:57:22,2456,SUCCESS,144499858942,99.91,4
84,2023-08-03 04:57:22,2456,COMPILE_CODE_ERROR,None,None,None
85,2023-08-03 04:57:23,2457,COMPILE_CODE_ERROR,None,None,None
86,2023-08-03 04:58:51,2545,SUCCESS,144466433356,99.89,4
87,2023-08-03 04:58:52,2546,COMPILE_CODE_ERROR,None,None,None
88,2023-08-03 04:58:52,2546,COMPILE_CODE_ERROR,None,None,None
89,2023-08-03 04:58:52,2546,COMPILE_CODE_ERROR,None,None,None
90,2023-08-03 04:58:56,2550,RUN_CODE_ERROR,None,None,None
91,2023-08-03 05:00:31,2645,RUN_TIMEOUT,None,None,None
92,2023-08-03 05:00:32,2646,COMPILE_CODE_ERROR,None,None,None
93,2023-08-03 05:00:32,2646,COMPILE_CODE_ERROR,None,None,None
94,2023-08-03 05:00:35,2649,RUN_CODE_ERROR,None,None,None
95,2023-08-03 05:02:07,2741,SUCCESS,144551530374,99.95,4
96,2023-08-03 05:03:37,2831,SUCCESS,144471032304,99.89,4
97,2023-08-03 05:03:38,2832,COMPILE_CODE_ERROR,None,None,None
98,2023-08-03 05:05:09,2923,SUCCESS,144444381601,99.87,4
99,2023-08-03 05:05:10,2924,COMPILE_CODE_ERROR,None,None,None
100,2023-08-03 05:06:40,3014,SUCCESS,144393038650,99.84,3
101,2023-08-03 05:08:10,3104,SUCCESS,144512529149,99.92,2
102,2023-08-03 05:09:45,3199,RUN_TIMEOUT,None,None,None
103,2023-08-03 05:09:46,3200,COMPILE_CODE_ERROR,None,None,None
104,2023-08-03 05:11:21,3295,RUN_TIMEOUT,None,None,None
105,2023-08-03 05:11:24,3298,RUN_CODE_ERROR,None,None,None
106,2023-08-03 05:11:28,3302,RUN_CODE_ERROR,None,None,None
107,2023-08-03 05:13:03,3397,RUN_TIMEOUT,None,None,None
108,2023-08-03 05:14:38,3492,RUN_TIMEOUT,None,None,None
109,2023-08-03 05:14:39,3493,COMPILE_CODE_ERROR,None,None,None
110,2023-08-03 05:14:39,3493,COMPILE_CODE_ERROR,None,None,None
111,2023-08-03 05:16:12,3586,SUCCESS,144458325523,99.88,4
112,2023-08-03 05:17:44,3678,SUCCESS,144629905183,100.0,2
113,2023-08-03 05:19:18,3772,SUCCESS,144782819146,100.11,4
114,2023-08-03 05:19:19,3773,COMPILE_CODE_ERROR,None,None,None
115,2023-08-03 05:20:50,3864,SUCCESS,144472506665,99.89,2
116,2023-08-03 05:20:50,3864,COMPILE_CODE_ERROR,None,None,None
117,2023-08-03 05:20:51,3865,COMPILE_CODE_ERROR,None,None,None
118,2023-08-03 05:20:54,3868,RUN_CODE_ERROR,None,None,None
119,2023-08-03 05:20:54,3868,COMPILE_CODE_ERROR,None,None,None
120,2023-08-03 05:20:55,3869,COMPILE_CODE_ERROR,None,None,None
121,2023-08-03 05:20:55,3869,COMPILE_CODE_ERROR,None,None,None
122,2023-08-03 05:20:56,3870,COMPILE_CODE_ERROR,None,None,None
123,2023-08-03 05:22:27,3961,SUCCESS,144432857773,99.86,4
124,2023-08-03 05:23:55,4049,SUCCESS,144469018953,99.89,4
125,2023-08-03 05:25:27,4141,SUCCESS,144408119238,99.85,4
126,2023-08-03 05:25:27,4141,SUCCESS,144469018953,99.89,4
127,2023-08-03 05:25:30,4144,RUN_CODE_ERROR,None,None,None
128,2023-08-03 05:25:31,4145,COMPILE_CODE_ERROR,None,None,None
129,2023-08-03 05:25:31,4145,COMPILE_CODE_ERROR,None,None,None
130,2023-08-03 05:25:34,4148,RUN_CODE_ERROR,None,None,None
131,2023-08-03 05:25:35,4149,COMPILE_CODE_ERROR,None,None,None
132,2023-08-03 05:27:06,4240,SUCCESS,144439076396,99.87,4
133,2023-08-03 05:27:10,4244,RUN_CODE_ERROR,None,None,None
134,2023-08-03 05:28:45,4339,RUN_TIMEOUT,None,None,None
135,2023-08-03 05:28:45,4339,COMPILE_CODE_ERROR,None,None,None
136,2023-08-03 05:28:46,4340,COMPILE_CODE_ERROR,None,None,None
137,2023-08-03 05:30:19,4433,SUCCESS,144460018493,99.88,4
138,2023-08-03 05:30:19,4433,COMPILE_CODE_ERROR,None,None,None
139,2023-08-03 05:31:50,4524,SUCCESS,144448593965,99.88,4
140,2023-08-03 05:31:53,4527,RUN_CODE_ERROR,None,None,None
141,2023-08-03 05:31:53,4527,COMPILE_CODE_ERROR,None,None,None
142,2023-08-03 05:33:23,4617,SUCCESS,144450624341,99.88,4
143,2023-08-03 05:33:24,4618,COMPILE_CODE_ERROR,None,None,None
144,2023-08-03 05:33:24,4618,COMPILE_CODE_ERROR,None,None,None
145,2023-08-03 05:34:54,4708,SUCCESS,144564962095,99.96,4
146,2023-08-03 05:36:29,4803,RUN_TIMEOUT,None,None,None
147,2023-08-03 05:36:32,4806,RUN_CODE_ERROR,None,None,None
148,2023-08-03 05:36:33,4807,COMPILE_CODE_ERROR,None,None,None
149,2023-08-03 05:38:05,4899,SUCCESS,144443344984,99.87,4
150,2023-08-03 05:38:05,4899,COMPILE_CODE_ERROR,None,None,None
151,2023-08-03 05:39:36,4990,SUCCESS,144435167816,99.87,4
152,2023-08-03 05:41:11,5085,RUN_TIMEOUT,None,None,None
153,2023-08-03 05:41:12,5086,COMPILE_CODE_ERROR,None,None,None
154,2023-08-03 05:41:12,5086,COMPILE_CODE_ERROR,None,None,None
155,2023-08-03 05:41:16,5090,RUN_CODE_ERROR,None,None,None
156,2023-08-03 05:41:16,5090,COMPILE_CODE_ERROR,None,None,None
157,2023-08-03 05:42:51,5185,RUN_TIMEOUT,None,None,None
158,2023-08-03 05:44:21,5275,SUCCESS,144457268351,99.88,4
159,2023-08-03 05:44:24,5278,RUN_CODE_ERROR,None,None,None
160,2023-08-03 05:45:59,5373,RUN_TIMEOUT,None,None,None
161,2023-08-03 05:46:00,5374,COMPILE_CODE_ERROR,None,None,None
162,2023-08-03 05:46:03,5377,RUN_CODE_ERROR,None,None,None
163,2023-08-03 05:46:07,5381,RUN_CODE_ERROR,None,None,None
164,2023-08-03 05:46:07,5381,COMPILE_CODE_ERROR,None,None,None
165,2023-08-03 05:46:07,5381,COMPILE_CODE_ERROR,None,None,None
166,2023-08-03 05:46:08,5382,COMPILE_CODE_ERROR,None,None,None
167,2023-08-03 05:46:08,5382,COMPILE_CODE_ERROR,None,None,None
168,2023-08-03 05:47:43,5477,RUN_TIMEOUT,None,None,None
169,2023-08-03 05:48:16,5510,RUN_CODE_ERROR,None,None,None
170,2023-08-03 05:49:51,5605,RUN_TIMEOUT,None,None,None
171,2023-08-03 05:49:52,5606,COMPILE_CODE_ERROR,None,None,None
172,2023-08-03 05:49:55,5609,RUN_CODE_ERROR,None,None,None
173,2023-08-03 05:51:25,5699,SUCCESS,144423318803,99.86,4
174,2023-08-03 05:51:26,5700,COMPILE_CODE_ERROR,None,None,None
175,2023-08-03 05:52:57,5791,SUCCESS,144447805595,99.87,4
176,2023-08-03 05:52:58,5792,COMPILE_CODE_ERROR,None,None,None
177,2023-08-03 05:54:33,5887,RUN_TIMEOUT,None,None,None
178,2023-08-03 05:56:03,5977,SUCCESS,144445386913,99.87,4
179,2023-08-03 05:56:03,5977,COMPILE_CODE_ERROR,None,None,None
180,2023-08-03 05:56:03,5977,COMPILE_CODE_ERROR,None,None,None
181,2023-08-03 05:57:36,6070,SUCCESS,144466635758,99.89,4
182,2023-08-03 05:57:36,6070,COMPILE_CODE_ERROR,None,None,None
183,2023-08-03 05:57:37,6071,COMPILE_CODE_ERROR,None,None,None
184,2023-08-03 05:59:09,6163,SUCCESS,144470905775,99.89,4
185,2023-08-03 06:00:32,6246,SUCCESS,135881779873,93.95,4
186,2023-08-03 06:00:33,6247,COMPILE_CODE_ERROR,None,None,None
187,2023-08-03 06:01:57,6331,SUCCESS,135882465791,93.95,3
188,2023-08-03 06:03:21,6415,SUCCESS,135981452064,94.02,3
189,2023-08-03 06:03:21,6415,COMPILE_CODE_ERROR,None,None,None
190,2023-08-03 06:03:21,6415,COMPILE_CODE_ERROR,None,None,None
191,2023-08-03 06:03:25,6419,RUN_CODE_ERROR,None,None,None
192,2023-08-03 06:03:25,6419,COMPILE_CODE_ERROR,None,None,None
193,2023-08-03 06:03:26,6420,COMPILE_CODE_ERROR,None,None,None
194,2023-08-03 06:04:49,6503,SUCCESS,135892941719,93.96,3
195,2023-08-03 06:06:14,6588,SUCCESS,135875170811,93.95,5
196,2023-08-03 06:07:38,6672,SUCCESS,135911768422,93.97,4
197,2023-08-03 06:09:01,6755,SUCCESS,135904353084,93.97,4
198,2023-08-03 06:10:30,6844,SUCCESS,144445574177,99.87,4
199,2023-08-03 06:11:53,6927,SUCCESS,136044108366,94.06,4
200,2023-08-03 06:13:15,7009,SUCCESS,135859571903,93.94,6
201,2023-08-03 06:14:40,7094,SUCCESS,135864233445,93.94,5
202,2023-08-03 06:14:40,7094,COMPILE_CODE_ERROR,None,None,None
203,2023-08-03 06:16:03,7177,SUCCESS,135881967375,93.95,7
204,2023-08-03 06:16:06,7180,RUN_CODE_ERROR,None,None,None
205,2023-08-03 06:16:07,7181,COMPILE_CODE_ERROR,None,None,None
206,2023-08-03 06:17:29,7263,SUCCESS,136013072078,94.04,5
207,2023-08-03 06:18:51,7345,SUCCESS,135897444022,93.96,5
208,2023-08-03 06:20:14,7428,SUCCESS,135878645923,93.95,5
