variant_number,timestamp,time_elapse,status,fitness,percentage,edit,ParamSetting,StmtInsertion,StmtDeletion,StmtReplacement
-1,2023-08-03 04:16:50,0,INITIAL SUCCESS,60630587987,100,0,0,0,0,0
1,2023-08-03 04:16:53,50,RUN_CODE_ERROR,None,None,1,0,1,0,0
2,2023-08-03 04:16:54,51,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
3,2023-08-03 04:16:54,51,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
4,2023-08-03 04:17:33,90,SUCCESS,60659054343,100.05,1,0,0,1,0
5,2023-08-03 04:17:34,91,COMPILE_CODE_ERROR,None,None,1,0,0,1,0
6,2023-08-03 04:17:37,94,RUN_CODE_ERROR,None,None,1,0,1,0,0
7,2023-08-03 04:17:40,97,RUN_CODE_ERROR,None,None,1,0,0,0,1
8,2023-08-03 04:18:19,136,SUCCESS,60643993700,100.02,1,0,1,0,0
9,2023-08-03 04:18:22,139,RUN_CODE_ERROR,None,None,1,0,0,1,0
10,2023-08-03 04:18:23,140,COMPILE_CODE_ERROR,None,None,1,0,0,0,1
11,2023-08-03 04:19:01,178,SUCCESS,60722601518,100.15,1,0,0,1,0
12,2023-08-03 04:19:06,183,RUN_CODE_ERROR,None,None,1,0,0,1,0
13,2023-08-03 04:19:06,183,COMPILE_CODE_ERROR,None,None,1,0,1,0,0
14,2023-08-03 04:19:46,223,SUCCESS,60014505534,98.98,1,0,0,1,0
15,2023-08-03 04:19:47,224,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
16,2023-08-03 04:19:47,224,SUCCESS,60630587987,100.0,0,0,0,0,0
17,2023-08-03 04:19:47,224,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
18,2023-08-03 04:19:48,225,COMPILE_CODE_ERROR,None,None,2,0,0,1,1
19,2023-08-03 04:19:48,225,COMPILE_CODE_ERROR,None,None,2,0,1,1,0
20,2023-08-03 04:20:28,265,SUCCESS,59971201255,98.91,2,0,0,2,0
21,2023-08-03 04:20:28,265,SUCCESS,60014505534,98.98,1,0,0,1,0
22,2023-08-03 04:20:28,265,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
23,2023-08-03 04:21:07,304,SUCCESS,60643798790,100.02,1,0,0,1,0
24,2023-08-03 04:21:10,307,RUN_CODE_ERROR,None,None,3,0,0,2,1
25,2023-08-03 04:21:11,308,COMPILE_CODE_ERROR,None,None,3,0,1,2,0
26,2023-08-03 04:21:51,348,SUCCESS,59992080127,98.95,3,0,1,2,0
27,2023-08-03 04:22:31,388,SUCCESS,59995861389,98.95,3,0,0,2,1
